,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,CONNECTICUT,"COD, ATLANTIC","2,324",1,,Public,Recreational,,164712,MRIP
2022,CONNECTICUT,"COD, ATLANTIC",511,0,"1,449",Public,Commercial,Gadus morhua,164712,ACCSP
2022,CONNECTICUT,HADDOCK,375,0,574,Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2022,MAINE,"COD, ATLANTIC","56,110",25,"164,732",Public,Commercial,Gadus morhua,164712,ACCSP
2022,MAINE,"COD, ATLANTIC","4,539",2,,Public,Recreational,,164712,MRIP
2022,MAINE,HADDOCK,"246,274",112,"529,953",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2022,MAINE,HADDOCK,"218,324",99,,Public,Recreational,,164744,MRIP
2022,MASSACHUSETTS,"COD, ATLANTIC","1,004,226",456,"2,084,128",Public,Commercial,Gadus morhua,164712,ACCSP
2022,MASSACHUSETTS,"COD, ATLANTIC","181,405",82,,Public,Recreational,,164712,MRIP
2022,MASSACHUSETTS,HADDOCK,"780,400",354,,Public,Recreational,,164744,MRIP
2022,MASSACHUSETTS,HADDOCK,"10,565,631","4,793","17,010,464",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2022,NEW HAMPSHIRE,"COD, ATLANTIC","10,856",5,,Public,Recreational,,164712,MRIP
2022,NEW HAMPSHIRE,"COD, ATLANTIC","14,182",6,"34,650",Public,Commercial,Gadus morhua,164712,ACCSP
2022,NEW HAMPSHIRE,HADDOCK,"477,370",217,,Public,Recreational,,164744,MRIP
2022,NEW HAMPSHIRE,HADDOCK,"242,032",110,"418,648",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2022,RHODE ISLAND,"COD, ATLANTIC","11,102",5,,Public,Recreational,,164712,MRIP
2022,RHODE ISLAND,"COD, ATLANTIC","6,518",3,"15,065",Public,Commercial,Gadus morhua,164712,ACCSP
2022,RHODE ISLAND,HADDOCK,,,,Confidential,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2021,CONNECTICUT,"COD, ATLANTIC","7,921",4,,Public,Recreational,,164712,MRIP
2021,CONNECTICUT,"COD, ATLANTIC","2,277",1,"5,029",Public,Commercial,Gadus morhua,164712,ACCSP
2021,CONNECTICUT,HADDOCK,"4,041",2,"5,488",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2021,MAINE,"COD, ATLANTIC","47,311",21,"128,833",Public,Commercial,Gadus morhua,164712,ACCSP
2021,MAINE,"COD, ATLANTIC","1,171",1,,Public,Recreational,,164712,MRIP
2021,MAINE,HADDOCK,"192,292",87,"319,905",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2021,MAINE,HADDOCK,"97,936",44,,Public,Recreational,,164744,MRIP
2021,MASSACHUSETTS,"COD, ATLANTIC","1,201,132",545,"2,619,925",Public,Commercial,Gadus morhua,164712,ACCSP
2021,MASSACHUSETTS,"COD, ATLANTIC","365,368",166,,Public,Recreational,,164712,MRIP
2021,MASSACHUSETTS,HADDOCK,"1,265,648",574,,Public,Recreational,,164744,MRIP
2021,MASSACHUSETTS,HADDOCK,"15,541,180","7,049","19,090,173",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2021,NEW HAMPSHIRE,"COD, ATLANTIC","46,308",21,,Public,Recreational,,164712,MRIP
2021,NEW HAMPSHIRE,"COD, ATLANTIC","45,836",21,"124,633",Public,Commercial,Gadus morhua,164712,ACCSP
2021,NEW HAMPSHIRE,HADDOCK,"434,121",197,,Public,Recreational,,164744,MRIP
2021,NEW HAMPSHIRE,HADDOCK,"370,828",168,"504,824",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2021,RHODE ISLAND,"COD, ATLANTIC","47,671",22,,Public,Recreational,,164712,MRIP
2021,RHODE ISLAND,"COD, ATLANTIC","12,803",6,"26,286",Public,Commercial,Gadus morhua,164712,ACCSP
2021,RHODE ISLAND,HADDOCK,,,,Confidential,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2020,CONNECTICUT,"COD, ATLANTIC",143,0,,Public,Recreational,,164712,MRIP
2020,CONNECTICUT,"COD, ATLANTIC","4,492",2,"7,735",Public,Commercial,Gadus morhua,164712,ACCSP
2020,CONNECTICUT,HADDOCK,"15,010",7,"11,253",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2020,MAINE,"COD, ATLANTIC","58,733",27,"149,844",Public,Commercial,Gadus morhua,164712,ACCSP
2020,MAINE,"COD, ATLANTIC","3,111",1,,Public,Recreational,,164712,MRIP
2020,MAINE,HADDOCK,"216,364",98,"330,195",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2020,MAINE,HADDOCK,"275,605",125,,Public,Recreational,,164744,MRIP
2020,MASSACHUSETTS,"COD, ATLANTIC","1,468,781",666,"3,184,861",Public,Commercial,Gadus morhua,164712,ACCSP
2020,MASSACHUSETTS,"COD, ATLANTIC","8,900",4,,Public,Recreational,,164712,MRIP
2020,MASSACHUSETTS,CODFISHES,,,,Public,Recreational,,164701,MRIP
2020,MASSACHUSETTS,HADDOCK,"1,579,236",716,,Public,Recreational,,164744,MRIP
2020,MASSACHUSETTS,HADDOCK,"21,876,728","9,923","21,736,772",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2020,NEW HAMPSHIRE,"COD, ATLANTIC","21,440",10,,Public,Recreational,,164712,MRIP
2020,NEW HAMPSHIRE,"COD, ATLANTIC","67,340",31,"182,664",Public,Commercial,Gadus morhua,164712,ACCSP
2020,NEW HAMPSHIRE,HADDOCK,"429,977",195,,Public,Recreational,,164744,MRIP
2020,NEW HAMPSHIRE,HADDOCK,"265,467",120,"292,739",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2020,RHODE ISLAND,"COD, ATLANTIC","40,541",18,,Public,Recreational,,164712,MRIP
2020,RHODE ISLAND,"COD, ATLANTIC","17,589",8,"37,426",Public,Commercial,Gadus morhua,164712,ACCSP
2020,RHODE ISLAND,HADDOCK,"3,132",1,"2,911",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2020,RHODE ISLAND,HADDOCK,734,0,,Public,Recreational,,164744,MRIP
2019,CONNECTICUT,"COD, ATLANTIC","270,565",123,,Public,Recreational,,164712,MRIP
2019,CONNECTICUT,"COD, ATLANTIC","3,082",1,"7,357",Public,Commercial,Gadus morhua,164712,ACCSP
2019,CONNECTICUT,HADDOCK,"7,507",3,"7,455",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2019,MAINE,"COD, ATLANTIC","88,427",40,"241,324",Public,Commercial,Gadus morhua,164712,ACCSP
2019,MAINE,"COD, ATLANTIC","50,684",23,,Public,Recreational,,164712,MRIP
2019,MAINE,HADDOCK,"370,129",168,"503,905",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2019,MAINE,HADDOCK,"173,925",79,,Public,Recreational,,164744,MRIP
2019,MASSACHUSETTS,"COD, ATLANTIC","2,032,364",922,"4,539,608",Public,Commercial,Gadus morhua,164712,ACCSP
2019,MASSACHUSETTS,"COD, ATLANTIC","24,033",11,,Public,Recreational,,164712,MRIP
2019,MASSACHUSETTS,HADDOCK,"1,233,756",560,,Public,Recreational,,164744,MRIP
2019,MASSACHUSETTS,HADDOCK,"18,727,801","8,495","18,258,387",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2019,NEW HAMPSHIRE,"COD, ATLANTIC","24,317",11,,Public,Recreational,,164712,MRIP
2019,NEW HAMPSHIRE,"COD, ATLANTIC","98,439",45,"243,959",Public,Commercial,Gadus morhua,164712,ACCSP
2019,NEW HAMPSHIRE,HADDOCK,"418,594",190,,Public,Recreational,,164744,MRIP
2019,NEW HAMPSHIRE,HADDOCK,"106,517",48,"132,603",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2019,RHODE ISLAND,"COD, ATLANTIC","143,753",65,,Public,Recreational,,164712,MRIP
2019,RHODE ISLAND,"COD, ATLANTIC","16,539",8,"35,972",Public,Commercial,Gadus morhua,164712,ACCSP
2019,RHODE ISLAND,HADDOCK,"2,113",1,"1,842",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2018,CONNECTICUT,"COD, ATLANTIC","8,254",4,,Public,Recreational,,164712,MRIP
2018,CONNECTICUT,"COD, ATLANTIC","12,995",6,"24,921",Public,Commercial,Gadus morhua,164712,ACCSP
2018,CONNECTICUT,HADDOCK,"90,565",41,"71,214",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2018,MAINE,"COD, ATLANTIC","90,017",41,"212,132",Public,Commercial,Gadus morhua,164712,ACCSP
2018,MAINE,"COD, ATLANTIC",836,0,,Public,Recreational,,164712,MRIP
2018,MAINE,HADDOCK,"657,371",298,"765,642",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2018,MAINE,HADDOCK,"264,890",120,,Public,Recreational,,164744,MRIP
2018,MASSACHUSETTS,"COD, ATLANTIC","1,891,221",858,"4,172,340",Public,Commercial,Gadus morhua,164712,ACCSP
2018,MASSACHUSETTS,"COD, ATLANTIC","14,614",7,,Public,Recreational,,164712,MRIP
2018,MASSACHUSETTS,HADDOCK,"1,135,229",515,,Public,Recreational,,164744,MRIP
2018,MASSACHUSETTS,HADDOCK,"13,486,613","6,117","12,304,940",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2018,NEW HAMPSHIRE,"COD, ATLANTIC",990,0,,Public,Recreational,,164712,MRIP
2018,NEW HAMPSHIRE,"COD, ATLANTIC","88,755",40,"209,414",Public,Commercial,Gadus morhua,164712,ACCSP
2018,NEW HAMPSHIRE,HADDOCK,"568,667",258,,Public,Recreational,,164744,MRIP
2018,NEW HAMPSHIRE,HADDOCK,"79,785",36,"107,048",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2018,RHODE ISLAND,"COD, ATLANTIC","56,599",26,,Public,Recreational,,164712,MRIP
2018,RHODE ISLAND,"COD, ATLANTIC","65,741",30,"151,753",Public,Commercial,Gadus morhua,164712,ACCSP
2018,RHODE ISLAND,HADDOCK,"105,715",48,"88,276",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2018,RHODE ISLAND,HADDOCK,805,0,,Public,Recreational,,164744,MRIP
2017,CONNECTICUT,"COD, ATLANTIC","18,036",8,,Public,Recreational,,164712,MRIP
2017,CONNECTICUT,"COD, ATLANTIC",937,0,"2,299",Public,Commercial,Gadus morhua,164712,ACCSP
2017,CONNECTICUT,HADDOCK,544,0,477,Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2017,MAINE,"COD, ATLANTIC","80,572",37,"218,948",Public,Commercial,Gadus morhua,164712,ACCSP
2017,MAINE,"COD, ATLANTIC",373,0,,Public,Recreational,,164712,MRIP
2017,MAINE,HADDOCK,"369,681",168,"554,935",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2017,MAINE,HADDOCK,"168,389",76,,Public,Recreational,,164744,MRIP
2017,MASSACHUSETTS,"COD, ATLANTIC","1,582,750",718,"3,773,361",Public,Commercial,Gadus morhua,164712,ACCSP
2017,MASSACHUSETTS,"COD, ATLANTIC","295,164",134,,Public,Recreational,,164712,MRIP
2017,MASSACHUSETTS,HADDOCK,"4,199,256","1,905",,Public,Recreational,,164744,MRIP
2017,MASSACHUSETTS,HADDOCK,"11,701,180","5,308","11,370,860",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2017,NEW HAMPSHIRE,"COD, ATLANTIC","220,820",100,,Public,Recreational,,164712,MRIP
2017,NEW HAMPSHIRE,"COD, ATLANTIC","70,960",32,"149,768",Public,Commercial,Gadus morhua,164712,ACCSP
2017,NEW HAMPSHIRE,HADDOCK,"361,413",164,,Public,Recreational,,164744,MRIP
2017,NEW HAMPSHIRE,HADDOCK,"17,790",8,"22,489",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2017,RHODE ISLAND,"COD, ATLANTIC","33,166",15,,Public,Recreational,,164712,MRIP
2017,RHODE ISLAND,"COD, ATLANTIC","113,229",51,"278,573",Public,Commercial,Gadus morhua,164712,ACCSP
2017,RHODE ISLAND,HADDOCK,,,,Confidential,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2016,CONNECTICUT,"COD, ATLANTIC","135,569",61,,Public,Recreational,,164712,MRIP
2016,CONNECTICUT,"COD, ATLANTIC","25,660",12,"48,883",Public,Commercial,Gadus morhua,164712,ACCSP
2016,MAINE,"COD, ATLANTIC","26,740",12,,Public,Recreational,,164712,MRIP
2016,MAINE,"COD, ATLANTIC","166,082",75,"341,502",Public,Commercial,Gadus morhua,164712,ACCSP
2016,MAINE,HADDOCK,"323,264",147,"544,695",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2016,MAINE,HADDOCK,"117,224",53,,Public,Recreational,,164744,MRIP
2016,MASSACHUSETTS,"COD, ATLANTIC","254,176",115,,Public,Recreational,,164712,MRIP
2016,MASSACHUSETTS,"COD, ATLANTIC","2,723,898","1,236","5,164,251",Public,Commercial,Gadus morhua,164712,ACCSP
2016,MASSACHUSETTS,HADDOCK,"10,739,406","4,871","12,620,392",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2016,MASSACHUSETTS,HADDOCK,"2,396,978","1,087",,Public,Recreational,,164744,MRIP
2016,NEW HAMPSHIRE,"COD, ATLANTIC","102,116",46,,Public,Recreational,,164712,MRIP
2016,NEW HAMPSHIRE,"COD, ATLANTIC","55,162",25,"108,696",Public,Commercial,Gadus morhua,164712,ACCSP
2016,NEW HAMPSHIRE,CODFISHES,,,,Public,Recreational,,164701,MRIP
2016,NEW HAMPSHIRE,HADDOCK,"536,350",243,,Public,Recreational,,164744,MRIP
2016,NEW HAMPSHIRE,HADDOCK,"9,282",4,"14,420",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2016,RHODE ISLAND,"COD, ATLANTIC","405,993",184,,Public,Recreational,,164712,MRIP
2016,RHODE ISLAND,"COD, ATLANTIC","209,646",95,"393,885",Public,Commercial,Gadus morhua,164712,ACCSP
2016,RHODE ISLAND,HADDOCK,"2,653",1,"2,151",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2015,CONNECTICUT,"COD, ATLANTIC","1,966",1,"3,817",Public,Commercial,Gadus morhua,164712,ACCSP
2015,MAINE,"COD, ATLANTIC","6,609",3,,Public,Recreational,,164712,MRIP
2015,MAINE,"COD, ATLANTIC","254,596",115,"496,876",Public,Commercial,Gadus morhua,164712,ACCSP
2015,MAINE,HADDOCK,"403,477",183,"572,146",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2015,MAINE,HADDOCK,"89,126",40,,Public,Recreational,,164744,MRIP
2015,MASSACHUSETTS,"COD, ATLANTIC","2,913,462","1,322","5,528,180",Public,Commercial,Gadus morhua,164712,ACCSP
2015,MASSACHUSETTS,"COD, ATLANTIC","22,414",10,,Public,Recreational,,164712,MRIP
2015,MASSACHUSETTS,HADDOCK,"224,012",102,,Public,Recreational,,164744,MRIP
2015,MASSACHUSETTS,HADDOCK,"11,501,005","5,217","11,946,949",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2015,NEW HAMPSHIRE,"COD, ATLANTIC","7,086",3,,Public,Recreational,,164712,MRIP
2015,NEW HAMPSHIRE,"COD, ATLANTIC","44,701",20,"93,294",Public,Commercial,Gadus morhua,164712,ACCSP
2015,NEW HAMPSHIRE,HADDOCK,"426,004",193,,Public,Recreational,,164744,MRIP
2015,NEW HAMPSHIRE,HADDOCK,"5,740",3,"8,111",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2015,RHODE ISLAND,"COD, ATLANTIC","198,202",90,,Public,Recreational,,164712,MRIP
2015,RHODE ISLAND,"COD, ATLANTIC","138,921",63,"281,060",Public,Commercial,Gadus morhua,164712,ACCSP
2015,RHODE ISLAND,HADDOCK,"14,611",7,"9,041",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2014,CONNECTICUT,"COD, ATLANTIC",521,0,"1,130",Public,Commercial,Gadus morhua,164712,ACCSP
2014,CONNECTICUT,HADDOCK,13,0,21,Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2014,MAINE,"COD, ATLANTIC","295,444",134,,Public,Recreational,,164712,MRIP
2014,MAINE,"COD, ATLANTIC","404,122",183,"884,372",Public,Commercial,Gadus morhua,164712,ACCSP
2014,MAINE,HADDOCK,"24,623",11,,Public,Recreational,,164744,MRIP
2014,MAINE,HADDOCK,"283,823",129,"387,468",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2014,MASSACHUSETTS,"COD, ATLANTIC","4,294,558","1,948","7,493,751",Public,Commercial,Gadus morhua,164712,ACCSP
2014,MASSACHUSETTS,"COD, ATLANTIC","1,594,578",723,,Public,Recreational,,164712,MRIP
2014,MASSACHUSETTS,HADDOCK,"733,589",333,,Public,Recreational,,164744,MRIP
2014,MASSACHUSETTS,HADDOCK,"9,740,708","4,418","10,682,278",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2014,NEW HAMPSHIRE,"COD, ATLANTIC","358,602",163,,Public,Recreational,,164712,MRIP
2014,NEW HAMPSHIRE,"COD, ATLANTIC","263,511",120,"571,619",Public,Commercial,Gadus morhua,164712,ACCSP
2014,NEW HAMPSHIRE,HADDOCK,"408,226",185,,Public,Recreational,,164744,MRIP
2014,NEW HAMPSHIRE,HADDOCK,"10,472",5,"18,224",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2014,RHODE ISLAND,"COD, ATLANTIC","108,474",49,,Public,Recreational,,164712,MRIP
2014,RHODE ISLAND,"COD, ATLANTIC","195,069",88,"382,000",Public,Commercial,Gadus morhua,164712,ACCSP
2014,RHODE ISLAND,HADDOCK,"1,525",1,"2,025",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2013,CONNECTICUT,"COD, ATLANTIC","5,854",3,"10,063",Public,Commercial,Gadus morhua,164712,ACCSP
2013,CONNECTICUT,HADDOCK,83,0,161,Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2013,MAINE,"COD, ATLANTIC","514,251",233,,Public,Recreational,,164712,MRIP
2013,MAINE,"COD, ATLANTIC","286,299",130,"737,684",Public,Commercial,Gadus morhua,164712,ACCSP
2013,MAINE,HADDOCK,"50,812",23,,Public,Recreational,,164744,MRIP
2013,MAINE,HADDOCK,"132,030",60,"238,115",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2013,MASSACHUSETTS,"COD, ATLANTIC","4,145,436","1,880","8,376,593",Public,Commercial,Gadus morhua,164712,ACCSP
2013,MASSACHUSETTS,"COD, ATLANTIC","2,246,096","1,019",,Public,Recreational,,164712,MRIP
2013,MASSACHUSETTS,HADDOCK,"898,761",408,,Public,Recreational,,164744,MRIP
2013,MASSACHUSETTS,HADDOCK,"3,977,804","1,804","5,673,212",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2013,NEW HAMPSHIRE,"COD, ATLANTIC","775,280",352,,Public,Recreational,,164712,MRIP
2013,NEW HAMPSHIRE,"COD, ATLANTIC","229,878",104,"546,325",Public,Commercial,Gadus morhua,164712,ACCSP
2013,NEW HAMPSHIRE,HADDOCK,"406,200",184,,Public,Recreational,,164744,MRIP
2013,NEW HAMPSHIRE,HADDOCK,"10,301",5,"22,234",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2013,RHODE ISLAND,"COD, ATLANTIC","5,110",2,,Public,Recreational,,164712,MRIP
2013,RHODE ISLAND,"COD, ATLANTIC","290,381",132,"722,982",Public,Commercial,Gadus morhua,164712,ACCSP
2013,RHODE ISLAND,HADDOCK,,,,Confidential,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2012,CONNECTICUT,"COD, ATLANTIC","13,777",6,,Public,Recreational,,164712,MRIP
2012,CONNECTICUT,"COD, ATLANTIC","7,256",3,"14,222",Public,Commercial,Gadus morhua,164712,ACCSP
2012,CONNECTICUT,HADDOCK,"22,264",10,"30,443",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2012,MAINE,"COD, ATLANTIC","492,714",223,"1,234,332",Public,Commercial,Gadus morhua,164712,ACCSP
2012,MAINE,"COD, ATLANTIC","202,843",92,,Public,Recreational,,164712,MRIP
2012,MAINE,HADDOCK,"56,142",25,"128,127",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2012,MAINE,HADDOCK,"18,775",9,,Public,Recreational,,164744,MRIP
2012,MASSACHUSETTS,"COD, ATLANTIC","8,980,220","4,073","18,550,328",Public,Commercial,Gadus morhua,164712,ACCSP
2012,MASSACHUSETTS,"COD, ATLANTIC","2,081,862",944,,Public,Recreational,,164712,MRIP
2012,MASSACHUSETTS,HADDOCK,"745,732",338,,Public,Recreational,,164744,MRIP
2012,MASSACHUSETTS,HADDOCK,"4,173,472","1,893","7,549,732",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2012,NEW HAMPSHIRE,"COD, ATLANTIC","482,522",219,,Public,Recreational,,164712,MRIP
2012,NEW HAMPSHIRE,"COD, ATLANTIC","725,539",329,"1,750,400",Public,Commercial,Gadus morhua,164712,ACCSP
2012,NEW HAMPSHIRE,HADDOCK,"390,316",177,,Public,Recreational,,164744,MRIP
2012,NEW HAMPSHIRE,HADDOCK,"44,543",20,"95,021",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2012,RHODE ISLAND,"COD, ATLANTIC","153,116",69,,Public,Recreational,,164712,MRIP
2012,RHODE ISLAND,"COD, ATLANTIC","271,413",123,"582,169",Public,Commercial,Gadus morhua,164712,ACCSP
2012,RHODE ISLAND,HADDOCK,"38,718",18,"44,664",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2011,CONNECTICUT,"COD, ATLANTIC","1,136",1,"1,885",Public,Commercial,Gadus morhua,164712,ACCSP
2011,MAINE,"COD, ATLANTIC","598,121",271,,Public,Recreational,,164712,MRIP
2011,MAINE,"COD, ATLANTIC","814,075",369,"1,617,508",Public,Commercial,Gadus morhua,164712,ACCSP
2011,MAINE,HADDOCK,"27,895",13,"48,264",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2011,MAINE,HADDOCK,"89,783",41,,Public,Recreational,,164744,MRIP
2011,MASSACHUSETTS,"COD, ATLANTIC","15,012,115","6,809","27,582,664",Public,Commercial,Gadus morhua,164712,ACCSP
2011,MASSACHUSETTS,"COD, ATLANTIC","4,535,340","2,057",,Public,Recreational,,164712,MRIP
2011,MASSACHUSETTS,HADDOCK,"517,904",235,,Public,Recreational,,164744,MRIP
2011,MASSACHUSETTS,HADDOCK,"12,151,567","5,512","15,814,156",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2011,NEW HAMPSHIRE,"COD, ATLANTIC","1,122,436",509,,Public,Recreational,,164712,MRIP
2011,NEW HAMPSHIRE,"COD, ATLANTIC","1,286,415",584,"2,499,831",Public,Commercial,Gadus morhua,164712,ACCSP
2011,NEW HAMPSHIRE,HADDOCK,"352,632",160,,Public,Recreational,,164744,MRIP
2011,NEW HAMPSHIRE,HADDOCK,"18,581",8,"35,446",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2011,RHODE ISLAND,"COD, ATLANTIC","26,107",12,,Public,Recreational,,164712,MRIP
2011,RHODE ISLAND,"COD, ATLANTIC","408,860",185,"758,662",Public,Commercial,Gadus morhua,164712,ACCSP
2011,RHODE ISLAND,HADDOCK,"388,045",176,"418,334",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2010,CONNECTICUT,"COD, ATLANTIC","5,673",3,"9,457",Public,Commercial,Gadus morhua,164712,ACCSP
2010,MAINE,"COD, ATLANTIC","139,890",63,,Public,Recreational,,164712,MRIP
2010,MAINE,"COD, ATLANTIC","748,130",339,"1,388,714",Public,Commercial,Gadus morhua,164712,ACCSP
2010,MAINE,HADDOCK,"127,650",58,"138,877",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2010,MAINE,HADDOCK,"17,765",8,,Public,Recreational,,164744,MRIP
2010,MASSACHUSETTS,"COD, ATLANTIC","15,371,746","6,973","23,999,292",Public,Commercial,Gadus morhua,164712,ACCSP
2010,MASSACHUSETTS,"COD, ATLANTIC","4,767,463","2,163",,Public,Recreational,,164712,MRIP
2010,MASSACHUSETTS,HADDOCK,"1,265,485",574,,Public,Recreational,,164744,MRIP
2010,MASSACHUSETTS,HADDOCK,"21,089,104","9,566","21,210,487",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2010,NEW HAMPSHIRE,"COD, ATLANTIC","1,339,719",608,,Public,Recreational,,164712,MRIP
2010,NEW HAMPSHIRE,"COD, ATLANTIC","1,226,516",556,"2,186,977",Public,Commercial,Gadus morhua,164712,ACCSP
2010,NEW HAMPSHIRE,HADDOCK,"266,396",121,,Public,Recreational,,164744,MRIP
2010,NEW HAMPSHIRE,HADDOCK,"18,426",8,"29,011",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
2010,RHODE ISLAND,"COD, ATLANTIC","15,252",7,,Public,Recreational,,164712,MRIP
2010,RHODE ISLAND,"COD, ATLANTIC","279,080",127,"410,117",Public,Commercial,Gadus morhua,164712,ACCSP
2010,RHODE ISLAND,HADDOCK,"394,048",179,"337,090",Public,Commercial,Melanogrammus aeglefinus,164744,ACCSP
