,,,
Year ,Port ,Millions of Pounds, Millions of Dollars 
2022,"Dutch Harbor, AK",613.5,159.9
2022,"Empire-Venice, LA",498.4,163.3
2022,"Aleutian Islands (Other), AK",443.4,144.4
2022,"Reedville, VA",325,52.3
2022,"Intracoastal City, LA",295.3,24.9
2022,"Kodiak, AK",285.4,139
2022,"Naknek, AK",234.5,298.5
2022,"Astoria, OR",150,41.9
2022,"Westport, WA",112.3,86.5
2022,"Port Hueneme-Oxnard-Ventura, CA",105.1,74.2
2022,"Newport, OR",99.7,47.7
2022,"Alaska Penninsula (Other), AK",91.7,91
2022,"New Bedford, MA",88.4,443.2
2022,"Sitka, AK",69.1,77.5
2022,"Cordova, AK",65.3,76.4
2022,"Cape May-Wildwood, NJ",65.2,40.4
2022,"Ketchikan, AK",54.1,46.2
2022,"Bristol Bay (Other), AK",40.3,54.7
2022,"Point Judith, RI",39.2,71.4
2022,"Los Angeles, CA",36.7,26.5
2022,"Petersburg, AK",36.6,36.7
2022,"Dulac-Chauvin, LA",36.2,59.4
2022,"Egegik, AK",35.3,47.2
2022,"Gloucester, MA",34.1,59.3
2022,"Bayou La Batre, AL",28.4,59.5
2022,"Atlantic City, NJ",26.8,23.2
2022,"Honolulu, HI",26.2,121.8
2022,"Seward, AK",18.4,41.1
2022,"Lafitte-Barataria, LA",17,23.9
2022,"Grand Isle, LA",17,23.9
2022,"Point Pleasant, NJ",16.9,29.2
2022,"Port Arthur, TX",16.5,40.4
2022,"Delacroix-Yscloskey, LA",16.3,46.3
2022,"Craig, AK",16,17.5
2022,"Palacios, TX",15.8,36.8
2022,"Juneau, AK",14.1,25.3
2022,"Provincetown-Chatham, MA",13.3,38.9
2022,"Galveston, TX",13.2,43.8
2022,"Kenai, AK",13,13.9
2022,"Boston, MA",13,19.1
2022,"Golden Meadow-Leeville, LA",12.7,22.1
2022,"Coos Bay-Charleston, OR",12.1,14.2
2022,"Brownsville-Port Isabel, TX",12,32
2022,"Stonington, ME",11.7,46.1
2022,"North Kingstown, RI",10.5,12
2022,"Key West, FL",10.2,66.3
2022,"Wanchese-Stumpy Point, NC",10,21
2022,"Montauk, NY",9.9,19.4
2022,"Portland, ME",9.8,21.3
2022,"Hampton Roads Area, VA",9.7,24.5
2022,"Friendship, ME",8.5,24.4
2022,"Bellingham, WA",7.6,22.9
2022,"Tampa Bay-St. Petersburg, FL",7.5,30.3
2022,"Eureka, CA",7.5,6.3
2022,"Vinalhaven, ME",7.4,30.7
2022,"Dillingham-Togiak, AK",7.4,9.3
2022,"Beals Island, ME",6.4,15.3
2022,"Port of Lake Charles, LA",6.2,9.9
2022,"Gulfport-Biloxi, MS",6.2,10.2
2022,"Spruce Head, ME",6,19
2022,"Fort Bragg, CA",6,7
2022,"Moss Landing, CA",5.8,4.7
2022,"Beaufort-Morehead City, NC",5.8,13.5
2022,"Yakutat, AK",5.4,17.7
2022,"Jonesport, ME",5.4,7.8
2022,"Portsmouth, NH",5.3,7.3
2022,"Morgan City-Berwick, LA",5,7.8
2022,"Slidell-Covington, LA",4.8,14
2022,"Orleans, LA",4.5,8.4
2022,"Newport, RI",4.5,7.8
2022,"Brookings, OR",4.5,4.3
2022,"Stonington, CT",4.3,8.1
2022,"Monterey, CA",4.3,3.5
2022,"Mayport, FL",4.3,10.4
2022,"Shelton, WA",4.2,18
2022,"Tenants Harbor, ME",4.1,8.2
2022,"Fort Myers, FL",4.1,14.8
2022,"Cape Canaveral, FL",4.1,8.7
2022,"Homer, AK",3.9,19
2022,"Long Beach-Barnegat, NJ",3.8,64.6
2022,"Iberia, LA",3.8,6.7
2022,"Engelhard-Swanquarter, NC",3.7,6.8
2022,"Boothbay Harbor, ME",3.7,9.4
2022,"Newington, NH",3.5,23.9
2022,"Little Compton, RI",3.5,3.1
2022,"Anchorage, AK",3.5,2.6
2022,"Willapa Bay, WA",3.3,12.7
2022,"Anacortes-La Conner, WA",3,17.1
2022,"Neah Bay, WA",2.9,7.3
2022,"Ilwaco-Chinook, WA",2.9,13.2
2022,"Winchester Bay, OR",2.8,5.2
2022,"Cameron, LA",2.8,5.6
2022,"Port Clyde, ME",2.7,7.1
2022,"Milbridge, ME",2.7,9.6
2022,"Accomac, VA",2.7,7.7
2022,"Southwest Harbor, ME",2.6,11.3
2022,"Hampton Bay-Shinnicock, NY",2.6,4.6
2022,"Cundys Harbor, ME",2.6,10.5
2022,"Santa Barbara, CA",2.5,13.6
2022,"Cape Charles-Oyster, VA",2.5,2.9
2022,"Upper Southeast (Other), AK",2.4,7
2022,"Ocean City, MD",2.4,3.8
2022,"Harrington, ME",2.4,9.6
2022,"Addison, ME",2.4,5.4
2022,"Stuben, ME",2.2,7.7
2022,"San Francisco Area, CA",2.2,11
2022,"Oriental-Vandemere, NC",2.2,4.9
2022,"Columbia, NC",2.2,2.4
2022,"South Bristol, ME",2.1,7.6
2022,"Princeton-Half Moon Bay, CA",2.1,10.2
2022,"Marshfield, MA",2.1,8.5
2022,"Cranberry Isles, ME",2.1,6.9
2022,"Bodega Bay, CA",2.1,8.5
2022,"Seattle, WA",2,6.1
2022,"Corea, ME",2,7.7
2022,"Winter Harbor, ME",1.9,6.9
2022,"Swans Island, ME",1.9,7.5
2022,"Owls Head, ME",1.9,7.7
2022,"Wrangell, AK",1.8,4.4
2022,"San Diego, CA",1.8,8.9
2022,"Sandwich, MA",1.7,5.2
2022,"Machiasport, ME",1.7,4.1
2022,"Chincoteague, VA",1.7,2.1
2022,"Belford, NJ",1.7,1.3
2022,"Tillamook, OR",1.6,5.8
2022,"Rockland, ME",1.6,4.5
2022,"Cushing, ME",1.6,8
2022,"Crescent City, CA",1.5,5.4
2022,"Blaine, WA",1.5,8.5
2022,"Bass Harbor, ME",1.5,6.7
2022,"Rockport, MA",1.3,6.1
2022,"Bar Harbor, ME",1.3,6.1
2022,"Prospect Harbor, ME",1.2,4.8
2022,"Norton/Kotzebue Sound, AK",1.2,4.3
2022,"New London, CT",1.2,2.6
2022,"Olympia, WA",.5,11.3
2021,"Dutch Harbor, AK",745,249
2021,"Aleutian Islands (Other), AK",499.3,168.4
2021,"Empire-Venice, LA",302.6,102.3
2021,"Reedville, VA",301.3,466.5
2021,"Kodiak, AK",299.1,121.2
2021,"Intracoastal City, LA",296.1,33.8
2021,"Pascagoula-Moss Point, MS",205.5,210.5
2021,"Naknek, AK",160.6,245.2
2021,"Astoria, OR",154.5,52.7
2021,"Westport, WA",132.6,71.5
2021,"Alaska Penninsula (Other), AK",127.6,94.5
2021,"Cordova, AK",122.7,69.7
2021,"Cape May-Wildwood, NJ",113.5,147.7
2021,"Newport, OR",112.6,74.2
2021,"New Bedford, MA",104,569.7
2021,"Pago Pago, AS",82.2,52.4
2021,"Sitka, AK",78.5,73.4
2021,"Valdez, AK",73.1,29.8
2021,"Ketchikan, AK",59.5,44.3
2021,"Bristol Bay (Other), AK",51.4,148.8
2021,"Gloucester, MA",47.1,80.3
2021,"Petersburg, AK",44.3,38.3
2021,"Point Judith, RI",44.1,72.1
2021,"Port Hueneme-Oxnard-Ventura, CA",37.5,31.8
2021,"Seward, AK",31.1,37
2021,"Dulac-Chauvin, LA",30.6,53.6
2021,"Bayou La Batre, AL",29.2,77.3
2021,"Honolulu, HI",27.1,118.5
2021,"Monterey, CA",26.5,17
2021,"Moss Landing, CA",21.6,12
2021,"Craig, AK",21,22.7
2021,"Los Angeles, CA",20.4,16.5
2021,"Port Arthur, TX",18.8,48.3
2021,"North Kingstown, RI",17.9,15.3
2021,"Coos Bay-Charleston, OR",17.8,34.8
2021,"Atlantic City, NJ",17.5,12.4
2021,"Palacios, TX",17.1,48.1
2021,"Galveston, TX",17,62.8
2021,"Juneau, AK",16.7,30.6
2021,"Brownsville-Port Isabel, TX",16.4,50.1
2021,"Egegik, AK",15.9,26.1
2021,"Delacroix-Yscloskey, LA",14.9,42.9
2021,"Boston, MA",14.3,18.4
2021,"Provincetown-Chatham, MA",13.2,35.5
2021,"Kenai, AK",13.1,12.1
2021,"Golden Meadow-Leeville, LA",12.7,24.4
2021,"Point Pleasant, NJ",12.5,33.7
2021,"Stonington, ME",11.8,73.2
2021,"Wanchese-Stumpy Point, NC",10.9,23
2021,"Key West, FL",10.8,66.9
2021,"Brookings, OR",10.4,12.7
2021,"Portland, ME",10.3,32.9
2021,"Hampton Roads Area, VA",10.2,42.3
2021,"Montauk, NY",9.7,16.7
2021,"Lafitte-Barataria, LA",9.7,15
2021,"Grand Isle, LA",9.7,15
2021,"Tampa Bay-St. Petersburg, FL",9,34.5
2021,"Vinalhaven, ME",8.1,55.8
2021,"Eureka, CA",8.1,13.2
2021,"Princeton-Half Moon Bay, CA",7.8,14
2021,"Friendship, ME",7.8,40.7
2021,"Jonesport, ME",7.6,15.1
2021,"Portsmouth, NH",7,11.1
2021,"Beaufort-Morehead City, NC",7,18
2021,"Beals Island, ME",6.9,35.6
2021,"Fort Myers, FL",6.7,20.3
2021,"Ilwaco-Chinook, WA",6.5,24.3
2021,"Spruce Head, ME",6.3,31.5
2021,"Newport, RI",6.3,6.4
2021,"Morgan City-Berwick, LA",5.8,8.8
2021,"Mayport, FL",5.6,15.1
2021,"Iberia, LA",5.6,9.3
2021,"Yakutat, AK",5.3,15.9
2021,"Gulfport-Biloxi, MS",5.3,12.1
2021,"Port of Lake Charles, LA",5.1,8.9
2021,"Homer, AK",5,21.8
2021,"Fort Bragg, CA",5,8.3
2021,"Orleans, LA",4.9,9.5
2021,"Dillingham-Togiak, AK",4.9,7.3
2021,"Slidell-Covington, LA",4.6,11
2021,"Long Beach-Barnegat, NJ",4.4,26.9
2021,"Bellingham, WA",4.4,16.5
2021,"Winchester Bay, OR",4.3,8.3
2021,"Engelhard-Swanquarter, NC",4.3,9
2021,"Crescent City, CA",4.3,20.1
2021,"Oriental-Vandemere, NC",4.1,11.4
2021,"Rockland, ME",4,10.6
2021,"Accomac, VA",3.9,10.3
2021,"Newington, NH",3.7,30
2021,"Tenants Harbor, ME",3.3,14
2021,"Columbia, NC",3.3,4.2
2021,"Willapa Bay, WA",3.2,12.6
2021,"Fairhaven, MA",3.2,8.3
2021,"Port Clyde, ME",3.1,11.9
2021,"Hampton Bay-Shinnicock, NY",3.1,4.8
2021,"Stonington, CT",3,7.2
2021,"Shelton, WA",3,21.3
2021,"Ocean City, MD",3,5.6
2021,"San Francisco Area, CA",2.9,11.2
2021,"Little Compton, RI",2.9,2.5
2021,"Cundys Harbor, ME",2.9,19.3
2021,"Anacortes-La Conner, WA",2.9,18.1
2021,"Southwest Harbor, ME",2.8,20.7
2021,"South Bristol, ME",2.8,12.2
2021,"Milbridge, ME",2.7,18.3
2021,"Belford, NJ",2.7,1.5
2021,"Tillamook, OR",2.6,11.2
2021,"Darien-Bellville, GA",2.5,9.6
2021,"Chincoteague, VA",2.5,3.8
2021,"Stuben, ME",2.4,14.8
2021,"Upper Southeast (Other), AK",2.3,7
2021,"Harrington, ME",2.3,16.5
2021,"Boothbay Harbor, ME",2.3,11.5
2021,"San Diego, CA",2.2,9.2
2021,"Bodega Bay, CA",2.2,10.7
2021,"Wrangell, AK",2.1,5.8
2021,"Swans Island, ME",2.1,14.5
2021,"Santa Barbara, CA",2.1,11.4
2021,"Cushing, ME",2.1,15.2
2021,"Prospect Harbor, ME",2,13
2021,"Machiasport, ME",2,10.9
2021,"New London, CT",1.9,2.9
2021,"Neah Bay, WA",1.9,4.6
2021,"Bass Harbor, ME",1.9,13.2
2021,"Anchorage, AK",1.9,2
2021,"Owls Head, ME",1.8,12.2
2021,"Cranberry Isles, ME",1.8,11.4
2021,"Pembroke, ME",1.5,1
2021,"Sneads Ferry-Swansboro, NC",1.2,3.8
2021,"Blaine, WA",1.2,8
2021,"Belhaven-Washington, NC",1.2,2.2
2021,"Brunswick, GA",1.1,5.9
2021,"Norton/Kotzebue Sound, AK",1,.7
2021,"Seattle, WA",.9,8.5
2021,"Savannah, GA",.8,5
2021,"Olympia, WA",.6,8.9
2021,"Morro Bay, CA",.6,2
2021,"Tacoma, WA",.5,7.7
2020,"Dutch Harbor, AK",800.2,186.7
2020,"Aleutian Islands (Other), AK",517.5,112.3
2020,"Kodiak, AK",363.7,87.7
2020,"Reedville, VA",301.5,63.9
2020,"Empire-Venice, LA",210.3,67.6
2020,"Astoria, OR",182.1,42.9
2020,"Pago Pago, AS",169.7,107.9
2020,"Naknek, AK",154.4,242.3
2020,"Intracoastal City, LA",137.2,15.7
2020,"Newport, OR",117.2,59.8
2020,"New Bedford, MA",115.4,376.6
2020,"Westport, WA",113.1,50.6
2020,"Alaska Penninsula (Other), AK",109,45.2
2020,"Cape May-Wildwood, NJ",103.7,92.8
2020,"Pascagoula-Moss Point, MS",90.9,12.9
2020,"Gloucester, MA",48.8,50.1
2020,"Point Judith, RI",42.6,46.7
2020,"Cordova, AK",42.4,25.5
2020,"Point Pleasant, NJ",35.3,35.7
2020,"Bristol Bay (Other), AK",33.2,63.4
2020,"Sitka, AK",30.4,33.3
2020,"Bayou La Batre, AL",28,62
2020,"Dulac-Chauvin, LA",26.5,39.1
2020,"Seward, AK",26.1,22.6
2020,"Honolulu, HI",25,76.3
2020,"Moss Landing, CA",21.5,9.6
2020,"Provincetown-Chatham, MA",21,25.1
2020,"Ketchikan, AK",20.7,15.9
2020,"St. Augustine, FL",20.4,15.5
2020,"Egegik, AK",20.1,30
2020,"North Kingstown, RI",19.6,14.4
2020,"Monterey, CA",18,10.5
2020,"Petersburg, AK",17.5,20.5
2020,"Atlantic City, NJ",17.5,12.4
2020,"Brownsville-Port Isabel, TX",17.2,46.4
2020,"Coos Bay-Charleston, OR",16.7,20
2020,"Boston, MA",16.7,16.5
2020,"Tampa Bay-St. Petersburg, FL",16.1,28.9
2020,"Galveston, TX",15.5,51.2
2020,"Portland, ME",15.2,19.2
2020,"Los Angeles, CA",15.1,12.8
2020,"Port Arthur, TX",14.1,29.1
2020,"Key West, FL",14,46.6
2020,"Wanchese-Stumpy Point, NC",13.9,18.8
2020,"Palacios, TX",13.6,31.9
2020,"Hampton Roads Area, VA",13.3,49.5
2020,"Golden Meadow-Leeville, LA",12.4,21.1
2020,"Stonington, ME",11.3,43.4
2020,"Brookings, OR",11.1,9
2020,"Grand Isle, LA",10.9,14.7
2020,"Cape Canaveral, FL",10.8,10.6
2020,"Delacroix-Yscloskey, LA",10.3,21.3
2020,"Montauk, NY",10,14.7
2020,"Juneau, AK",8.4,17.1
2020,"Kenai, AK",8.2,6.5
2020,"Eureka, CA",8,8.3
2020,"Beaufort-Morehead City, NC",8,16.8
2020,"Fort Myers, FL",7.8,17.4
2020,"Vinalhaven, ME",7.3,31
2020,"Princeton-Half Moon Bay, CA",7.3,10.4
2020,"Friendship, ME",7.3,20.2
2020,"Port Hueneme-Oxnard-Ventura, CA",7,12.5
2020,"Rockland, ME",6.6,7.9
2020,"Jonesport, ME",6.4,9.8
2020,"Beals Island, ME",6.3,19.3
2020,"Morgan City-Berwick, LA",6.2,7.8
2020,"Accomac, VA",6.2,13.4
2020,"Ilwaco-Chinook, WA",6.1,15.5
2020,"Slidell-Covington, LA",6,10.2
2020,"Gulfport-Biloxi, MS",5.9,11.8
2020,"Mayport, FL",5.6,13.3
2020,"Long Beach-Barnegat, NJ",5.6,21.7
2020,"Engelhard-Swanquarter, NC",5.4,8.2
2020,"Newport, RI",5.2,7
2020,"Tenants Harbor, ME",5.1,7.4
2020,"Bellingham, WA",4.8,13.8
2020,"Little Compton, RI",4.7,2.8
2020,"Homer, AK",4.7,12.5
2020,"Upper Southeast (Other), AK",4.4,5.5
2020,"Fort Bragg, CA",4.4,6.1
2020,"Cortez, FL",4.4,5.6
2020,"Spruce Head, ME",4.2,17
2020,"Oriental-Vandemere, NC",4.1,9
2020,"Darien-Bellville, GA",3.9,8.8
2020,"Yakutat, AK",3.6,8
2020,"Hampton Bay-Shinnicock, NY",3.6,4.3
2020,"Crescent City, CA",3.6,10.6
2020,"Newington, NH",3.3,18.6
2020,"Winchester Bay, OR",3.2,4.3
2020,"San Diego, CA",3.1,9.9
2020,"Fairhaven, MA",3.1,5
2020,"Bodega Bay, CA",3.1,10.2
2020,"San Francisco Area, CA",2.8,8
2020,"Belford, NJ",2.8,1.5
2020,"Anacortes-La Conner, WA",2.8,14.8
2020,"Savannah, GA",2.7,5.8
2020,"Panama City, FL",2.7,7.7
2020,"Ocean City, MD",2.7,5.2
2020,"Columbia, NC",2.7,3.3
2020,"Chincoteague, VA",2.7,2.5
2020,"Southwest Harbor, ME",2.6,11.7
2020,"Santa Barbara, CA",2.4,11.4
2020,"Hernando, FL",2.2,7.9
2020,"Tillamook, OR",1.9,6.2
2020,"Shelton, WA",1.9,13.5
2020,"Willapa Bay, WA",1.8,6.1
2020,"Craig, AK",1.8,7.4
2020,"Anchorage, AK",1.8,2.2
2020,"Port Orford, OR",1.4,4.1
2020,"Neah Bay, WA",1.2,2.5
2020,"Everglades City, FL",1.2,6.9
2020,"Blaine, WA",1.1,5.9
2020,"Norton/Kotzebue Sound, AK",.8,1
2019,"Dutch Harbor, AK",763,190.3
2019,"Aleutian Islands (Other), AK",589.1,142.1
2019,"Kodiak, AK",397.2,119.9
2019,"Reedville, VA",364.9,36.9
2019,"Pascagoula-Moss Point, MS",331.4,42.8
2019,"Intracoastal City, LA",233.5,21.7
2019,"Empire-Venice, LA",209.2,79.1
2019,"Naknek, AK",206.1,288.8
2019,"Alaska Penninsula (Other), AK",181.1,74.5
2019,"Astoria, OR",171.1,44.5
2019,"Pago Pago, AS",164.6,92.6
2019,"Newport, OR",121.5,58.1
2019,"Westport, WA",120.9,52.9
2019,"New Bedford, MA",115.8,450.8
2019,"Cordova, AK",95.6,54.9
2019,"Cape May-Wildwood, NJ",94.5,90
2019,"Bristol Bay (Other), AK",73.1,128.8
2019,"Gloucester, MA",50.2,56.6
2019,"Sitka, AK",49.9,53.6
2019,"Point Judith, RI",48.1,65.9
2019,"Ketchikan, AK",45.5,29
2019,"Seward, AK",44.3,36.6
2019,"Point Pleasant, NJ",37.3,35.4
2019,"Dulac-Chauvin, LA",35.1,50.4
2019,"Petersburg, AK",32.2,37.5
2019,"Honolulu, HI",28.9,89.7
2019,"Los Angeles, CA",23.8,15.4
2019,"Kenai, AK",23.8,20
2019,"Atlantic City, NJ",23.5,17.2
2019,"Bayou La Batre, AL",23.4,52.5
2019,"North Kingstown, RI",19.2,14.1
2019,"Provincetown-Chatham, MA",18.8,32
2019,"Portland, ME",18.8,25.8
2019,"Galveston, TX",18.8,65
2019,"Boston, MA",18.8,19.3
2019,"Coos Bay-Charleston, OR",18.4,28.5
2019,"Moss Landing, CA",18.2,5.4
2019,"Wanchese-Stumpy Point, NC",17.5,21.8
2019,"Hampton Roads Area, VA",17.4,56.1
2019,"St. Augustine, FL",17,31.3
2019,"Palacios, TX",16.6,42.4
2019,"Brownsville-Port Isabel, TX",16.5,46.1
2019,"Grand Isle, LA",16.2,21.1
2019,"Golden Meadow-Leeville, LA",14.6,23.3
2019,"Craig, AK",14.6,11.9
2019,"Key West, FL",14.2,54.5
2019,"Port Arthur, TX",13.7,30.3
2019,"Tampa Bay-St. Petersburg, FL",12.9,35.8
2019,"Upper Southeast (Other), AK",11.9,9.6
2019,"Port Hueneme-Oxnard-Ventura, CA",11.5,13.4
2019,"Montauk, NY",11.5,17.8
2019,"Juneau, AK",11.1,23
2019,"Stonington, ME",11,51
2019,"Delacroix-Yscloskey, LA",11,25.6
2019,"Eureka, CA",10.9,14.3
2019,"Cape Canaveral, FL",10.6,13
2019,"Beaufort-Morehead City, NC",9.9,24.7
2019,"Ilwaco-Chinook, WA",9.7,17.5
2019,"Crescent City, CA",8.4,22.3
2019,"Monterey, CA",8.3,2.6
2019,"Brookings, OR",8.2,11.2
2019,"Vinalhaven, ME",8.1,39.8
2019,"Jonesport, ME",8.1,13.6
2019,"Bellingham, WA",8.1,17.8
2019,"Friendship, ME",7.6,24.6
2019,"Mayport, FL",7,15.7
2019,"Long Beach-Barnegat, NJ",7,24.9
2019,"Fort Myers, FL",6.8,14.3
2019,"Engelhard-Swanquarter, NC",6.8,10
2019,"Rockland, ME",6.7,11.7
2019,"Gulfport-Biloxi, MS",6.7,14
2019,"Beals Island, ME",6.7,22.7
2019,"Southeast Alaska (Other), AK",6.5,10.1
2019,"Accomac, VA",6.1,11.9
2019,"Slidell-Covington, LA",5.9,9.6
2019,"Cortez, FL",5.7,4.9
2019,"Morgan City-Berwick, LA",5.4,6.3
2019,"Princeton-Half Moon Bay, CA",4.9,9.8
2019,"Newport, RI",4.9,7.8
2019,"Fairhaven, MA",4.9,10.9
2019,"Homer, AK",4.8,15.5
2019,"Columbia, NC",4.8,4.1
2019,"Ocean City, MD",4.7,7.3
2019,"Yakutat, AK",4.3,12.3
2019,"Willapa Bay, WA",4.3,15.3
2019,"Newington, NH",4.3,26.6
2019,"Belford, NJ",4.3,2
2019,"Oriental-Vandemere, NC",4.2,9.5
2019,"Fort Bragg, CA",4.1,6.4
2019,"Anacortes-La Conner, WA",4.1,20.5
2019,"Spruce Head, ME",4,18.7
2019,"Portsmouth, NH",4,7.3
2019,"New London, CT",4,3.6
2019,"Hampton Bay-Shinnicock, NY",4,5.7
2019,"Little Compton, RI",3.9,3.4
2019,"Darien-Bellville, GA",3.9,12.5
2019,"San Francisco Area, CA",3.8,12.4
2019,"Shelton, WA",3.4,32.1
2019,"San Diego, CA",3.2,10.1
2019,"Bon Secour-Gulf Shores, AL",3.2,6
2019,"Anchorage, AK",3,3.2
2019,"Milbridge, ME",2.9,13
2019,"Stonington, CT",2.8,4.4
2019,"Bodega Bay, CA",2.8,9.4
2019,"Norton/Kotzebue Sound, AK",2.7,3.4
2019,"Bass Harbor, ME",2.7,13.5
2019,"Santa Barbara, CA",2.6,10.8
2019,"Owls Head, ME",2.6,13
2019,"Hernando, FL",2.5,8.2
2019,"Neah Bay, WA",2.4,5.5
2019,"Cundys Harbor, ME",2.4,11.6
2019,"Chincoteague, VA",2.4,3.2
2019,"Belhaven-Washington, NC",2.3,2.4
2019,"Winchester Bay, OR",2.2,4.7
2019,"Southwest Harbor, ME",2.2,11.3
2019,"Savannah, GA",2.2,4.3
2019,"Panama City, FL",2.1,6.5
2019,"Harrington, ME",2.1,10.4
2019,"Cushing, ME",2.1,11.2
2019,"Swans Island, ME",2,8.9
2019,"Sneads Ferry-Swansboro, NC",2,5.7
2019,"Tenants Harbor, ME",1.9,8.7
2019,"Apalachicola, FL",1.9,5.3
2019,"Port Clyde, ME",1.7,7.4
2019,"Seattle, WA",1.5,6.3
2019,"Brunswick, GA",1.4,3.9
2019,"Olympia, WA",1.3,14.7
2019,"Crystal River, FL",1.3,5.1
2019,"Blaine, WA",1.3,5.5
2019,"Port Townsend, WA",1.1,4.2
2019,"Morro Bay, CA",1.1,3.9
2019,"Everglades City, FL",1.1,6.4
2019,"Prospect Harbor, ME",.9,4.6
2019,"Pembroke, ME",.7,.7
2019,"Elizabeth City, NC",.6,.7
2019,"Cape Charles-Oyster, VA",.6,2.3
2019,"Port Angeles, WA",.5,4.5
2019,"Tacoma, WA",.4,6
2019,"La Push, WA",.3,.8
2019,"Everett, WA",.2,.8
2018,"Dutch Harbor, AK",763,181.9
2018,"Empire-Venice, LA",569.2,148
2018,"Aleutian Islands (Other), AK",538.5,115.7
2018,"Kodiak, AK",390.5,104.4
2018,"Reedville, VA",352.5,36.2
2018,"Intracoastal City, LA",327.9,29.6
2018,"Pascagoula-Moss Point, MS",309.8,26.9
