,,,
2018,"Naknek, AK",190.7,195.4
2018,"Pago Pago, AS",186.7,132
2018,"Alaska Penninsula (Other), AK",154.8,61
2018,"Astoria, OR",138.2,39.7
2018,"Newport, OR",123.3,62.2
2018,"Westport, WA",121.6,28.6
2018,"New Bedford, MA",113.5,431.1
2018,"Cape May-Wildwood, NJ",101.2,66.3
2018,"Bristol Bay (Other), AK",70.4,104.4
2018,"Cordova, AK",59.3,54.9
2018,"Gloucester, MA",59,53.2
2018,"Point Judith, RI",47.5,63.7
2018,"Portland, ME",45.9,36.2
2018,"Sitka, AK",45.5,61
2018,"Point Pleasant, NJ",43.3,32.4
2018,"Moss Landing, CA",37.6,8.5
2018,"Ketchikan, AK",37.5,35.8
2018,"Petersburg, AK",35.3,44.7
2018,"Dulac-Chauvin, LA",33.9,47.3
2018,"Bayou La Batre, AL",32.4,62.5
2018,"Honolulu, HI",32,106
2018,"Port Hueneme-Oxnard-Ventura, CA",31.3,23.8
2018,"Los Angeles, CA",28.8,18.6
2018,"Seward, AK",28.7,43.7
2018,"Monterey, CA",25.3,9.6
2018,"Coos Bay-Charleston, OR",25,34.2
2018,"Atlantic City, NJ",24.8,18.2
2018,"Rockland, ME",23,13.7
2018,"North Kingstown, RI",22.8,16
2018,"Provincetown-Chatham, MA",22.5,34.8
2018,"Galveston, TX",20.4,59.9
2018,"Brownsville-Port Isabel, TX",19.9,51.3
2018,"Golden Meadow-Leeville, LA",19.6,26.9
2018,"Palacios, TX",18.5,43.1
2018,"St. Augustine, FL",18,19.4
2018,"Grand Isle, LA",17.8,20.1
2018,"Stonington, ME",17.5,59.7
2018,"Port Arthur, TX",17.3,35.8
2018,"Kenai, AK",17.2,17.4
2018,"Boston, MA",17,16.4
2018,"Wanchese-Stumpy Point, NC",16.4,19.5
2018,"Key West, FL",15.9,72.5
2018,"Delacroix-Yscloskey, LA",15.7,35.7
2018,"Tampa Bay-St. Petersburg, FL",15.3,31.3
2018,"Hampton Roads Area, VA",14.7,54.7
2018,"Eureka, CA",13.3,20.5
2018,"Brookings, OR",13,15.8
2018,"Crescent City, CA",12.6,28.2
2018,"Juneau, AK",12,21.4
2018,"Montauk, NY",11.3,17.3
2018,"Beaufort-Morehead City, NC",9.9,16.6
2018,"Fort Myers, FL",9.5,20.1
2018,"Gulfport-Biloxi, MS",9.4,16.7
2018,"Jonesport, ME",9.3,13.2
2018,"Vinalhaven, ME",9,38.7
2018,"Engelhard-Swanquarter, NC",8.4,10.8
2018,"Bellingham, WA",8.2,21.3
2018,"Beals Island, ME",8.1,23.5
2018,"Princeton-Half Moon Bay, CA",7.5,8.7
2018,"Slidell-Covington, LA",7.4,12.1
2018,"New London, CT",7.2,4.2
2018,"Long Beach-Barnegat, NJ",6.3,24.3
2018,"Accomac, VA",6.2,12.1
2018,"Friendship, ME",5.7,24.1
2018,"Newport, RI",5.5,7.9
2018,"Morgan City-Berwick, LA",5.3,5.4
2018,"San Francisco Area, CA",5.1,10.8
2018,"Wrangell, AK",4.9,10.4
2018,"Belford, NJ",4.9,1.9
2018,"Mayport, FL",4.7,11
2018,"Fort Bragg, CA",4.6,8.5
2018,"Winchester Bay, OR",4.5,5.8
2018,"Spruce Head, ME",4.4,16.6
2018,"Shelton, WA",4.3,31.7
2018,"Norton/Kotzebue Sound, AK",4.3,6.5
2018,"Homer, AK",4.3,13.2
2018,"Ocean City, MD",4.2,4.8
2018,"Newington, NH",4.2,26.5
2018,"Yakutat, AK",4.1,12.4
2018,"Cape Canaveral, FL",4.1,7.4
2018,"Iberia, LA",4,6.1
2018,"Upper Southeast (Other), AK",3.8,6.3
2018,"Portsmouth, NH",3.7,7.6
2018,"Oriental-Vandemere, NC",3.7,8.1
2018,"Hampton Bay-Shinnicock, NY",3.6,5.7
2018,"Anacortes-La Conner, WA",3.6,18.3
2018,"Willapa Bay, WA",3.5,12.5
2018,"Anchorage, AK",3.5,3.6
2018,"Ilwaco-Chinook, WA",3.4,7.7
2018,"Santa Barbara, CA",3.3,12.4
2018,"Tenants Harbor, ME",3.2,9
2018,"Milbridge, ME",3.2,10.7
2018,"Fairhaven, MA",3.2,8.4
2018,"Darien-Bellville, GA",3.2,8.8
2018,"Little Compton, RI",3.1,2.9
2018,"Bon Secour-Gulf Shores, AL",3.1,5.3
2018,"Prospect Harbor, ME",3,4.6
2018,"Neah Bay, WA",3,6
2018,"Hernando, FL",2.9,8.7
2018,"Cundys Harbor, ME",2.9,12.3
2018,"Owls Head, ME",2.8,12.1
2018,"Bass Harbor, ME",2.8,10.8
2018,"Panama City, FL",2.7,8.1
2018,"San Diego, CA",2.6,8.8
2018,"Olympia, WA",2.3,14.2
2018,"Ft. Pierce-St.Lucie, FL",2.3,5.1
2018,"Craig, AK",2.2,7.4
2018,"Apalachicola, FL",2.2,6.3
2018,"Port Lavaca, TX",2,5.4
2018,"Tillamook, OR",1.9,5
2018,"Bodega Bay, CA",1.8,6.8
2018,"Port Orford, OR",1.6,4.6
2018,"Everglades City, FL",1.6,7
2018,"Blaine, WA",1.6,5.9
2018,"Seattle, WA",1.4,5.2
2018,"Crystal River, FL",1.4,5.7
2018,"Morro Bay, CA",1.3,3.1
2017,"Dutch Harbor, AK",768.7,173
2017,"Aleutian Islands (Other), AK",552.3,106.3
2017,"Kodiak, AK",530.4,152
2017,"Reedville, VA",319.9,32.5
2017,"Pascagoula-Moss Point, MS",301.3,11.2
2017,"Empire-Venice, LA",294.1,100.1
2017,"Alaska Penninsula (Other), AK",267.9,111.5
2017,"Intracoastal City, LA",198.1,31.7
2017,"Naknek, AK",186.5,154
2017,"Astoria, OR",151.2,40
2017,"Westport, WA",150.4,63.9
2017,"Newport, OR",111.5,52.6
2017,"New Bedford, MA",110.8,389.5
2017,"Cape May-Wildwood, NJ",101.6,81
2017,"Cordova, AK",99.2,65.2
2017,"Sitka, AK",91.3,75.4
2017,"Port Hueneme-Oxnard-Ventura, CA",90.6,52.6
2017,"Ketchikan, AK",77,46.4
2017,"Petersburg, AK",64.8,51.7
2017,"Gloucester, MA",63.9,52.6
2017,"Seward, AK",50.5,59.9
2017,"Portland, ME",49.2,30.5
2017,"Point Judith, RI",44.3,57.4
2017,"Los Angeles, CA",43.2,26.1
2017,"Bristol Bay (Other), AK",42.5,64.3
2017,"Point Pleasant, NJ",37.5,35.3
2017,"Dulac-Chauvin, LA",37.3,56.2
2017,"Honolulu, HI",34,104
2017,"Kenai, AK",31.9,31.7
2017,"Bayou La Batre, AL",28.2,58.5
2017,"North Kingstown, RI",27,17.7
2017,"Atlantic City, NJ",24.7,18.6
2017,"Rockland, ME",23.3,15
2017,"Brownsville-Port Isabel, TX",23,62.8
2017,"Provincetown-Chatham, MA",22.3,33.8
2017,"Palacios, TX",20.2,48.7
2017,"Coos Bay-Charleston, OR",19.3,27.5
2017,"Galveston, TX",18.8,54.5
2017,"Grand Isle, LA",18.4,22.7
2017,"Juneau, AK",18.2,28.1
2017,"Stonington, ME",17.9,55.8
2017,"Port Arthur, TX",17.1,37.1
2017,"Egegik, AK",16.2,16.3
2017,"Boston, MA",15.8,17.3
2017,"Wanchese-Stumpy Point, NC",15.7,24
2017,"Ilwaco-Chinook, WA",15.6,22
2017,"Hampton Roads Area, VA",15.5,58.1
2017,"Golden Meadow-Leeville, LA",15,24.6
2017,"Key West, FL",14.6,58.2
2017,"Beaufort-Morehead City, NC",14.2,20.6
2017,"Tampa Bay-St. Petersburg, FL",13.9,39.2
2017,"Monterey, CA",13.6,6.9
2017,"Delacroix-Yscloskey, LA",12.4,26.4
2017,"Moss Landing, CA",10.3,4.5
2017,"Montauk, NY",10.1,14.8
2017,"Jonesport, ME",10,12.7
2017,"Fort Myers, FL",10,23
2017,"Gulfport-Biloxi, MS",9.9,17.2
2017,"Eureka, CA",9.3,10.4
2017,"Princeton-Half Moon Bay, CA",8.9,11
2017,"Engelhard-Swanquarter, NC",8.9,12.8
2017,"Bellingham, WA",8.9,22.7
2017,"Vinalhaven, ME",8.8,36.5
2017,"Brookings, OR",8.8,8.4
2017,"Long Beach-Barnegat, NJ",7.6,24.7
2017,"Newport, RI",7.3,8.5
2017,"St. Augustine, FL",7,27.6
2017,"Upper Southeast (Other), AK",6.9,8.9
2017,"Slidell-Covington, LA",6.9,10.4
2017,"Beals Island, ME",6.9,20.5
2017,"Morgan City-Berwick, LA",6.8,6.6
2017,"Cape Canaveral, FL",6.6,11.2
2017,"Mayport, FL",6.4,15.2
2017,"Seattle, WA",6.3,29
2017,"Accomac, VA",5.9,12.8
2017,"Shelton, WA",5.6,15.5
2017,"New London, CT",5.6,2.7
2017,"Anacortes-La Conner, WA",5.5,21.3
2017,"San Francisco Area, CA",5.3,14.5
2017,"Fort Bragg, CA",5.3,9.2
2017,"Darien-Bellville, GA",5.1,8.5
2017,"Crescent City, CA",5.1,7.4
2017,"Belford, NJ",5.1,2.7
2017,"Wrangell, AK",5,10.3
2017,"Pembroke, ME",4.8,1
2017,"Portsmouth, NH",4.6,6.9
2017,"Neah Bay, WA",4.6,8.7
2017,"Iberia, LA",4.5,5.5
2017,"Ocean City, MD",4.4,4.6
2017,"Friendship, ME",4.4,19.2
2017,"Oriental-Vandemere, NC",4.1,9.8
2017,"Norton/Kotzebue Sound, AK",4.1,8.6
2017,"Newington, NH",4.1,24.8
2017,"Morro Bay, CA",4.1,6.5
2017,"Homer, AK",4,14.4
2017,"Santa Barbara, CA",3.9,12.8
2017,"Hampton Bay-Shinnicock, NY",3.8,6.1
2017,"Anchorage, AK",3.8,4.3
2017,"Spruce Head, ME",3.7,13.3
2017,"Yakutat, AK",3.5,7.5
2017,"Panama City, FL",3.5,9.7
2017,"Bodega Bay, CA",3.5,13
2017,"Willapa Bay, WA",3.4,9.9
2017,"Columbia, NC",3.4,2.4
2017,"Fairhaven, MA",3.2,10.3
2017,"Bon Secour-Gulf Shores, AL",3.2,6.1
2017,"Owls Head, ME",2.7,11
2017,"Milbridge, ME",2.7,9.7
2017,"Bass Harbor, ME",2.7,11.1
2017,"Sneads Ferry-Swansboro, NC",2.6,5.8
2017,"Port Clyde, ME",2.6,6.8
2017,"Ft. Pierce-St.Lucie, FL",2.6,5.5
2017,"Swans Island, ME",2.5,9.2
2017,"Belhaven-Washington, NC",2.5,2.6
2017,"Apalachicola, FL",2.4,7.7
2017,"Olympia, WA",2.3,15.1
2017,"Fernandina Beach, FL",2.3,5.7
2017,"Savannah, GA",2.1,3.9
2017,"Everett, WA",2.1,2.9
2017,"Southwest Harbor, ME",2,8.9
2017,"San Diego, CA",2,7.8
2017,"Chincoteague, VA",1.9,3.9
2017,"Blaine, WA",1.9,6.8
2017,"Tacoma, WA",1.8,5.4
2017,"Stonington, CT",1.8,6.2
2017,"Everglades City, FL",1.4,6.2
2017,"Brunswick, GA",1,2.4
2017,"La Push, WA",.9,2.6
2017,"Interior (Other), AK",.9,.3
2017,"Elizabeth City, NC",.9,1.2
2017,"Cape Charles-Oyster, VA",.3,1.1
2017,"Greenport, NY",.2,.3
2016,"Dutch Harbor, AK",770,198
2016,"Aleutian Islands (Other), AK",508,105
2016,"Empire-Venice, LA",440,122
2016,"Kodiak, AK",417,107
2016,"Reedville, VA",321.3,31.2
2016,"Pascagoula-Moss Point, MS",285,12
2016,"Alaska Penninsula (Other), AK",243,85
2016,"Intracoastal City, LA",215,26
2016,"Naknek, AK",170,108
2016,"Westport, WA",108.3,59.2
2016,"New Bedford, MA",106.6,326.5
2016,"Astoria, OR",93.6,42.3
2016,"Newport, OR",77.3,47.8
2016,"Ketchikan, AK",65,36
2016,"Gloucester, MA",63.4,52.4
2016,"Sitka, AK",56,55
2016,"Bristol Bay (Other), AK",54,76
2016,"Point Judith, RI",53.4,55.7
2016,"Portland, ME",49.8,38.1
2016,"Cape May-Wildwood, NJ",46.6,84.7
2016,"Petersburg, AK",41,37
2016,"Port Hueneme-Oxnard-Ventura, CA",38,26
2016,"Los Angeles, CA",36.5,18.6
2016,"Cordova, AK",35,38
2016,"Rockland, ME",33.6,21.1
2016,"Honolulu, HI",32.3,106
2016,"Dulac-Chauvin, LA",32,48
2016,"Seward, AK",27,42
2016,"Provincetown-Chatham, MA",26.5,32.8
2016,"Point Pleasant, NJ",26.3,32.1
2016,"Atlantic City, NJ",24.3,19.7
2016,"Stonington, ME",23.2,68
2016,"Kenai, AK",22,25
2016,"Bayou La Batre, AL",22,45
2016,"Coos Bay-Charleston, OR",21.3,27.9
2016,"Lafitte-Barataria, LA",21,29
2016,"Brownsville-Port Isabel, TX",18,53
2016,"North Kingstown, RI",17.6,13.7
2016,"Golden Meadow-Leeville, LA",17,25
2016,"Wanchese-Stumpy Point, NC",16.1,21.3
2016,"Key West, FL",16,67
2016,"Juneau, AK",16,23
2016,"Port Arthur, TX",15,33
2016,"Palacios, TX",15,39
2016,"Galveston, TX",15,45
2016,"Delacroix-Yscloskey, LA",14,29
2016,"Moss Landing, CA",13.4,6
2016,"Ilwaco-Chinook, WA",13.3,22.1
2016,"San Francisco Area, CA",12.9,23.2
2016,"Princeton-Half Moon Bay, CA",12.7,16.6
2016,"Hampton Roads Area, VA",12.3,61
2016,"Boston, MA",12.2,17
2016,"Montauk, NY",11.8,16.3
2016,"Brookings, OR",11,14.7
2016,"Vinalhaven, ME",10.5,42.3
2016,"Monterey, CA",10.4,5.8
2016,"Jonesport, ME",10.4,14.8
2016,"Tampa Bay-St. Petersburg, FL",10,23
2016,"Crescent City, CA",9.5,22.9
2016,"Shelton, WA",9.4,36.4
2016,"New London, CT",9,5.1
2016,"Eureka, CA",8.9,12.7
2016,"Morgan City-Berwick, LA",8,7
2016,"Gulfport-Biloxi, MS",8,15
2016,"Fort Myers, FL",8,17
2016,"Beaufort-Morehead City, NC",8,18.2
2016,"Engelhard-Swanquarter, NC",7.9,12.9
2016,"Accomac, VA",7.6,20.1
2016,"Bellingham, WA",7.3,20.5
2016,"Long Beach-Barnegat, NJ",7.2,26.9
2016,"Slidell-Covington, LA",7,11
2016,"Homer, AK",7,20
2016,"Beals Island, ME",7,23.3
2016,"Anchorage, AK",7,7
2016,"Newport, RI",6.6,8
2016,"Port St. Joe, FL",6,5
2016,"Cortez, FL",6,5
2016,"Santa Barbara, CA",5.2,13.6
2016,"Hampton Bay-Shinnicock, NY",5.2,8
2016,"Seattle, WA",5.1,25.6
2016,"Yakutat, AK",5,13
2016,"Wrangell, AK",5,10
2016,"Upper Southeast (Other), AK",5,7
2016,"Mayport, FL",5,12
2016,"Iberia, LA",5,5
2016,"Friendship, ME",4.7,20.3
2016,"Columbia, NC",4.7,2.9
2016,"Anacortes-La Conner, WA",4.7,19
2016,"Spruce Head, ME",4.6,16.9
2016,"Neah Bay, WA",4.6,7
2016,"Bodega Bay, CA",4.5,13.8
2016,"Oriental-Vandemere, NC",4.4,10.5
2016,"Morro Bay, CA",4.3,7.1
2016,"Fort Bragg, CA",4.3,7.3
2016,"Panama City, FL",4,10
2016,"Ocean City, MD",4,5.7
2016,"Cameron, LA",4,6
2016,"Newington, NH",3.9,21.7
2016,"Fairhaven, MA",3.9,21.8
2016,"Willapa Bay, WA",3.8,10.8
2016,"Bass Harbor, ME",3.5,12.7
2016,"Olympia, WA",3.4,20.6
2016,"Belhaven-Washington, NC",3.4,3.2
2016,"Owls Head, ME",3.3,14.2
2016,"Milbridge, ME",3.1,12.2
2016,"Port Lavaca, TX",3,6
2016,"Norton/Kotzebue Sound, AK",3,9
2016,"Cape Canaveral, FL",3,7
2016,"Bon Secour-Gulf Shores, AL",3,6
2016,"Apalachicola, FL",3,7
2016,"Darien-Bellville, GA",2.9,5.9
2016,"Swans Island, ME",2.7,10.9
2016,"Sneads Ferry-Swansboro, NC",2.6,6.6
2016,"Southwest Harbor, ME",2.5,11.4
2016,"Belford, NJ",2.5,3
2016,"Chincoteague, VA",2.4,4.9
2016,"San Diego, CA",2.2,8.3
2016,"Stonington, CT",2.1,5.9
2016,"Portsmouth, NH",2,7.1
2016,"Port Clyde, ME",2,7.8
2016,"Naples, FL",2,7
2016,"Ft. Pierce-St.Lucie, FL",2,5
2016,"Fernandina Beach, FL",2,5
2016,"Savannah, GA",1.8,3.1
2016,"Blaine, WA",1.8,5.9
2016,"Tacoma, WA",1.7,7.8
2016,"Everett, WA",1.6,2.3
2016,"Elizabeth City, NC",1.6,1.6
2016,"Aransas Pass-Rockport, TX",1,4
2016,"Brunswick, GA",.7,1.5
2016,"La Push, WA",.4,1.2
2015,"Dutch Harbor, AK",787.4,218.2
2015,"Kodiak, AK",513.9,137.5
2015,"Aleutian Islands (Other), AK",467.4,111.3
2015,"Intracoastal City, LA",427.5,32.8
2015,"Empire-Venice, LA",379.2,110.9
2015,"Reedville, VA",350,33.1
2015,"Pascagoula-Moss Point, MS",294.8,53.9
2015,"Alaska Penninsula (Other), AK",268,90.3
2015,"Naknek, AK",175.5,68.5
2015,"Cordova, AK",162,64.5
2015,"New Bedford, MA",123.8,321.9
2015,"Seward, AK",94.4,59.3
2015,"Astoria, OR",91.5,38.2
2015,"Sitka, AK",87.4,59.4
2015,"Ketchikan, AK",84.3,39.6
2015,"Westport, WA",83.5,65
2015,"Cape May-Wildwood, NJ",77.2,71.6
2015,"Petersburg, AK",69.6,39.3
2015,"Bristol Bay (Other), AK",69.6,90.1
2015,"Gloucester, MA",67.7,44.4
2015,"Newport, OR",65,32.9
2015,"Portland, ME",62.4,34.6
2015,"Kenai, AK",49.6,32.5
2015,"Point Judith, RI",46.2,46.2
2015,"Moss Landing, CA",45.1,7.6
2015,"Port Hueneme-Oxnard-Ventura, CA",43.5,20.7
2015,"Honolulu, HI",32.3,96.8
2015,"Rockland, ME",31,17.8
2015,"Dulac-Chauvin, LA",30.5,45.4
2015,"Monterey, CA",28.4,8
2015,"Grand Isle, LA",25.9,32.6
2015,"Atlantic City, NJ",25.9,19.6
2015,"Brownsville-Port Isabel, TX",24.7,55.1
2015,"Point Pleasant, NJ",24.4,28.2
2015,"Provincetown-Chatham, MA",21.2,30.6
2015,"Coos Bay-Charleston, OR",20.6,21.5
2015,"Bayou La Batre, AL",20.2,37.2
2015,"Stonington, ME",19.1,63.8
2015,"Wanchese-Stumpy Point, NC",18.2,26.6
2015,"Key West, FL",17.3,71.2
2015,"Juneau, AK",16.7,22.5
2015,"Galveston, TX",16.4,42.4
2015,"North Kingstown, RI",16.1,11.1
2015,"Golden Meadow-Leeville, LA",16,23.8
2015,"Palacios, TX",15.4,31.2
2015,"Los Angeles, CA",14.7,8.4
2015,"Ilwaco-Chinook, WA",14.6,14.5
2015,"Boston, MA",14,16.2
2015,"Tampa Bay-St. Petersburg, FL",13.6,24.7
2015,"Port Arthur, TX",13.6,26.9
2015,"Delacroix-Yscloskey, LA",13.5,26.3
2015,"Bellingham, WA",13.3,25.4
2015,"Montauk, NY",11.6,15.9
2015,"Hampton Roads Area, VA",11.5,56.4
2015,"Princeton-Half Moon Bay, CA",10.7,7.3
2015,"Anchorage, AK",10.4,9.1
2015,"Brookings, OR",9.8,8.6
2015,"Vinalhaven, ME",9.7,39.7
2015,"Shelton, WA",9.6,34.2
2015,"Gulfport-Biloxi, MS",9.3,15
2015,"Beaufort-Morehead City, NC",8.6,20.3
2015,"Eureka, CA",8.4,7.3
2015,"Newport, RI",8.3,7.5
2015,"Accomac, VA",8.3,13
2015,"Fort Myers, FL",7.3,16.8
2015,"Crescent City, CA",7,6.5
2015,"Homer, AK",6.7,18.1
2015,"Engelhard-Swanquarter, NC",6.6,13.6
2015,"Fort Bragg, CA",6.5,10.6
2015,"Columbia, NC",6.5,11.4
2015,"Seattle, WA",6.4,24.5
2015,"Morgan City-Berwick, LA",6.4,6.8
2015,"Long Beach-Barnegat, NJ",6.3,25.4
2015,"Santa Barbara, CA",6.2,13.9
2015,"New London, CT",6.1,6.5
2015,"Beals Island, ME",6,20.7
2015,"Slidell-Covington, LA",5.9,10.6
2015,"Portsmouth, NH",5.9,7
2015,"Anacortes-La Conner, WA",5.9,20.6
2015,"Jonesport, ME",5.8,14.1
2015,"Fairhaven, MA",5.8,17.8
2015,"Mayport, FL",5.7,12.1
2015,"Neah Bay, WA",5.6,8.9
2015,"Port St. Joe, FL",5.4,5.2
2015,"Wrangell, AK",5.2,10.7
2015,"Upper Southeast (Other), AK",5.2,4.8
2015,"San Francisco Area, CA",5.2,9.2
2015,"Friendship, ME",5.2,21.8
2015,"Belford, NJ",4.9,1.9
2015,"Belhaven-Washington, NC",4.7,8.3
2015,"Yakutat, AK",4.4,12.2
2015,"Spruce Head, ME",4.4,16.5
2015,"Cameron, LA",4.4,6.1
2015,"Ocean City, MD",4.1,7.2
2015,"Hampton Bay-Shinnicock, NY",4.1,4.9
2015,"Oriental-Vandemere, NC",4,9.7
2015,"Cape Canaveral, FL",4,7.4
2015,"Panama City, FL",3.6,9.8
2015,"Morro Bay, CA",3.6,7.8
2015,"Newington, NH",3.2,17.1
2015,"Bon Secour-Gulf Shores, AL",3.2,5.1
2015,"Darien-Bellville, GA",3.1,8.7
2015,"Apalachicola, FL",3.1,9.1
2015,"Willapa Bay, WA",2.9,9.7
2015,"Port Clyde, ME",2.9,10.8
2015,"Milbridge, ME",2.8,11.2
2015,"Swans Island, ME",2.7,11.2
2015,"Chincoteague, VA",2.7,5.7
2015,"Southwest Harbor, ME",2.5,11
2015,"Olympia, WA",2.5,17.2
2015,"Bass Harbor, ME",2.5,10.8
2015,"Owls Head, ME",2.3,10.1
2015,"Blaine, WA",2.3,8.5
2015,"Ft. Pierce-St.Lucie, FL",2.2,5.2
2015,"San Diego, CA",2.1,7.2
2015,"Bodega Bay, CA",2.1,3.7
2015,"Tacoma, WA",1.9,5.9
2015,"Sneads Ferry-Swansboro, NC",1.9,5.6
2015,"Elizabeth City, NC",1.9,2.6
2015,"Stonington, CT",1.7,5.2
2015,"Naples, FL",1.7,9.2
2015,"Savannah, GA",1.6,3.3
2015,"Everett, WA",1.6,1.8
2015,"Brunswick, GA",1.5,3.7
2015,"La Push, WA",.6,1.9
2015,"Greenport, NY",.2,.3
2015,"Cape Charles-Oyster, VA",0,0
2015,"Barnegat Light, NJ",0,.3
2014,"Dutch Harbor, AK",761.8,191.4
2014,"Kodiak, AK",477.1,143.1
2014,"Aleutian Islands (Other), AK",470.9,106.8
2014,"Empire-Venice, LA",326.9,127.3
2014,"Reedville, VA",323.9,30.9
2014,"Intracoastal City, LA",300.2,43.3
2014,"Pascagoula-Moss Point, MS",184.4,21
2014,"Alaska Penninsula (Other), AK",169.7,86.5
2014,"New Bedford, MA",140,328.8
2014,"Naknek, AK",133,135.1
2014,"Newport, OR",124,52.6
2014,"Astoria, OR",122.3,42.7
2014,"Westport, WA",100,63.9
2014,"Sitka, AK",88.5,71.3
2014,"Ketchikan, AK",86.5,45.1
2014,"Cordova, AK",85,62.5
2014,"Port Hueneme-Oxnard-Ventura, CA",74.7,31.7
2014,"Monterey, CA",67.7,21.5
2014,"Petersburg, AK",64.7,50.9
2014,"Moss Landing, CA",62.2,16.2
2014,"Gloucester, MA",61.4,45.8
2014,"Bristol Bay (Other), AK",59,82.1
2014,"Point Judith, RI",57.3,50.4
2014,"Portland, ME",56.5,31.5
2014,"Los Angeles, CA",55.2,20.3
2014,"Seward, AK",52.4,52.7
2014,"Cape May-Wildwood, NJ",49.9,59
2014,"Rockland, ME",40.6,19.1
2014,"Dulac-Chauvin, LA",33.7,69
2014,"Atlantic City, NJ",29.9,22.1
2014,"Coos Bay-Charleston, OR",29.4,34.1
