,,,
2014,"Honolulu, HI",29,88
2014,"Kenai, AK",27.9,34.3
2014,"Grand Isle, LA",27.7,54.8
2014,"Ilwaco-Chinook, WA",27,25.2
2014,"Stonington, ME",25.4,60.3
2014,"Point Pleasant, NJ",24.2,25.8
2014,"Wanchese-Stumpy Point, NC",22.3,26.6
2014,"North Kingstown, RI",21.3,11.2
2014,"Bayou La Batre, AL",20.8,58.1
2014,"Princeton-Half Moon Bay, CA",20.5,16.2
2014,"Provincetown-Chatham, MA",20,29
2014,"San Francisco Area, CA",19.5,26.7
2014,"Juneau, AK",18.5,23
2014,"Golden Meadow-Leeville, LA",16.5,36
2014,"Boston, MA",16.4,16.5
2014,"Eureka, CA",15,14.8
2014,"Hampton Roads Area, VA",14.7,52.1
2014,"Delacroix-Yscloskey, LA",14.5,33.4
2014,"Galveston, TX",14,69
2014,"Bellingham, WA",14,28.8
2014,"Key West, FL",13.4,60.8
2014,"Tampa Bay-St. Petersburg, FL",12.5,33.1
2014,"Brownsville-Port Isabel, TX",12.1,76.3
2014,"Montauk, NY",11.8,16.9
2014,"Anchorage, AK",11.3,13.9
2014,"Vinalhaven, ME",10.5,35.7
2014,"Shelton, WA",10.4,38.2
2014,"Gulfport-Biloxi, MS",10.1,28.4
2014,"Port Arthur, TX",9.4,40.6
2014,"Crescent City, CA",9.3,12.8
2014,"Friendship, ME",9.1,20.2
2014,"Brookings, OR",8.3,9.8
2014,"Morgan City-Berwick, LA",8.2,10.2
2014,"Accomac, VA",8,12.5
2014,"Fort Bragg, CA",7.7,12.4
2014,"Apalachicola, FL",7.5,8.5
2014,"Homer, AK",7.3,20.5
2014,"Darien-Bellville, GA",7.3,7.2
2014,"Beaufort-Morehead City, NC",7.3,14.6
2014,"Long Beach-Barnegat, NJ",7.1,25.4
2014,"Jonesport, ME",7.1,14
2014,"Palacios, TX",7,38.3
2014,"Belford, NJ",7,2.8
2014,"Willapa Bay, WA",6.9,19.1
2014,"Morro Bay, CA",6.9,8.4
2014,"Beals Island, ME",6.8,22.1
2014,"Santa Barbara, CA",6.6,13
2014,"Fort Myers, FL",6.6,18.7
2014,"Cameron, LA",6.6,10
2014,"Slidell-Covington, LA",6.5,12.3
2014,"Newport, RI",6.4,6.8
2014,"Fairhaven, MA",6.4,16.9
2014,"Seattle, WA",6,23.9
2014,"Wrangell, AK",5.8,13.5
2014,"Port Clyde, ME",5.7,10.2
2014,"Ocean City, MD",5.4,6.3
2014,"Yakutat, AK",5.2,12.7
2014,"Engelhard-Swanquarter, NC",5.2,10.4
2014,"Mayport, FL",5,14.1
2014,"Upper Southeast (Other), AK",4.9,4.2
2014,"Hampton Bay-Shinnicock, NY",4.7,5.5
2014,"Neah Bay, WA",4.5,8.6
2014,"New London, CT",4.3,5.8
2014,"Spruce Head, ME",4.2,14.7
2014,"Bodega Bay, CA",4.2,12.9
2014,"Newington, NH",3.9,14.1
2014,"Chincoteague, VA",3.6,4.8
2014,"Olympia, WA",3.4,20.9
2014,"Bon Secour-Gulf Shores, AL",3.4,6.1
2014,"Panama City, FL",3.3,8.6
2014,"Belhaven-Washington, NC",3.3,4.4
2014,"Cape Canaveral, FL",3,5.7
2014,"Ft. Pierce-St.Lucie, FL",2.9,6.5
2014,"Blaine, WA",2.8,8.5
2014,"Norton/Kotzebue Sound, AK",2.7,4.3
2014,"Oriental-Vandemere, NC",2.5,6.4
2014,"Everett, WA",2.5,2.8
2014,"Elizabeth City, NC",2,2.7
2014,"Tacoma, WA",1.9,4.4
2014,"Stonington, CT",1.9,6.8
2014,"Anacortes-La Conner, WA",1.9,8.1
2014,"Port Angeles, WA",1.8,4.6
2014,"Sneads Ferry-Swansboro, NC",1.7,4.7
2014,"Savannah, GA",1.7,3.6
2014,"San Diego, CA",1.7,6.9
2014,"Port Townsend, WA",1.5,4.7
2014,"Naples, FL",1.5,7.9
2014,"Aransas Pass-Rockport, TX",1.5,5.7
2014,"Port Orford, OR",1.4,3.4
2014,"Freeport, TX",1.3,7.2
2014,"Tillamook, OR",1.2,3.6
2014,"La Push, WA",1.1,2.9
2014,"Brunswick, GA",1.1,3.5
2014,"Haines, AK",.3,.6
2014,"Greenport, NY",.2,.2
2014,"Cape Charles-Oyster, VA",.1,.8
2014,"Barnegat Light, NJ",0,.2
2013,"Dutch Harbor, AK",752.5,197.2
2013,"Aleutian Islands (Other), AK",469.5,104.9
2013,"Kodiak, AK",425.6,153.6
2013,"Empire-Venice, LA",421.9,82.5
2013,"Reedville, VA",317.7,29.6
2013,"Intracoastal City, LA",248.9,25.8
2013,"Cameron, LA",194.7,7.3
2013,"Alaska Penninsula (Other), AK",187.2,102.1
2013,"Pascagoula-Moss Point, MS",171.1,11.3
2013,"Astoria, OR",158.7,50.2
2013,"Cordova, AK",147.4,91.5
2013,"Ketchikan, AK",143.5,76.2
2013,"Westport, WA",139.6,65.1
2013,"New Bedford, MA",129.8,379
2013,"Newport, OR",126.8,55.1
2013,"Sitka, AK",126.2,84.3
2013,"Petersburg, AK",122.6,73
2013,"Los Angeles, CA",113.1,34.2
2013,"Port Hueneme-Oxnard-Ventura, CA",104.7,39.8
2013,"Seward, AK",84.3,69.7
2013,"Naknek, AK",78.3,88.6
2013,"Gloucester, MA",62.4,42.3
2013,"Portland, ME",62.1,31.5
2013,"Valdez, AK",60.9,28.7
2013,"Point Judith, RI",54.6,46.7
2013,"Bristol Bay (Other), AK",41.2,64.1
2013,"Ilwaco-Chinook, WA",37.3,30
2013,"Dulac-Chauvin, LA",37.1,63.6
2013,"Kenai, AK",35.6,40.1
2013,"Rockland, ME",34.6,14.9
2013,"Coos Bay-Charleston, OR",32.8,34.4
2013,"Honolulu, HI",29,95
2013,"Atlantic City, NJ",27.3,21.4
2013,"Bellingham, WA",23.5,22.5
2013,"Moss Landing, CA",23,7.5
2013,"Galveston, TX",22.6,71.5
2013,"Monterey, CA",22.5,7.6
2013,"North Kingstown, RI",21.7,9.7
2013,"Brownsville-Port Isabel, TX",20.7,72.7
2013,"Juneau, AK",20.4,26.5
2013,"Cape May-Wildwood, NJ",20.4,35.3
2013,"Boston, MA",20.2,15.6
2013,"Stonington, ME",19.9,48.9
2013,"Princeton-Half Moon Bay, CA",18.5,16.5
2013,"Crescent City, CA",18.2,34.4
2013,"Hampton Roads Area, VA",16.5,52.7
2013,"Golden Meadow-Leeville, LA",16.2,31.6
2013,"Wanchese-Stumpy Point, NC",16.1,21.3
2013,"Point Pleasant, NJ",15.4,23.1
2013,"Eureka, CA",15.4,25.1
2013,"Bayou La Batre, AL",15.3,37.7
2013,"Port Arthur, TX",14.9,40.1
2013,"Jonesport, ME",14.2,11.4
2013,"Upper Southeast (Other), AK",14.1,12.8
2013,"Provincetown-Chatham, MA",13.8,30.1
2013,"Vinalhaven, ME",13.3,30.7
2013,"Shelton, WA",13.1,45.5
2013,"Montauk, NY",13.1,17.7
2013,"Brookings, OR",13.1,19.1
2013,"Seattle, WA",12.4,29
2013,"Anchorage, AK",11.8,12.1
2013,"Yukon Delta (Other), AK",11.7,15.1
2013,"San Francisco Area, CA",11.4,18
2013,"Palacios, TX",10.9,34.4
2013,"Lafitte-Barataria, LA",10.8,16.7
2013,"Homer, AK",10.3,25.6
2013,"Gulfport-Biloxi, MS",9.4,23.4
2013,"Delacroix-Yscloskey, LA",8.7,16.4
2013,"Accomac, VA",8.7,13.9
2013,"Long Beach-Barnegat, NJ",8.6,25.3
2013,"Fort Bragg, CA",8.6,15.1
2013,"Newport, RI",8.1,14.3
2013,"Grand Isle, LA",7.7,13.2
2013,"Key West, FL",7.5,39.8
2013,"Fairhaven, MA",7.2,22.2
2013,"Tampa Bay-St. Petersburg, FL",7.1,19.5
2013,"Anacortes-La Conner, WA",7,8.5
2013,"Morro Bay, CA",6.7,7
2013,"Santa Barbara, CA",6.4,10.4
2013,"Beaufort-Morehead City, NC",6.4,11.7
2013,"Yakutat, AK",6.2,14
2013,"Darien-Bellville, GA",6.2,5.4
2013,"Beals Island, ME",6.2,15.1
2013,"Hampton Bay-Shinnicock, NY",6.1,6.9
2013,"Wrangell, AK",5.8,10.7
2013,"Neah Bay, WA",5,7.7
2013,"New London, CT",4.9,6.1
2013,"Craig, AK",4.9,5.9
2013,"Friendship, ME",4.8,14.9
2013,"Chincoteague, VA",4.8,5.6
2013,"Ocean City, MD",4.6,4
2013,"Egegik, AK",4.3,6.3
2013,"Spruce Head, ME",4.2,11.4
2013,"Newington, NH",4.1,11.6
2013,"Engelhard-Swanquarter, NC",4.1,7.4
2013,"Port Clyde, ME",3.9,9.2
2013,"Bodega Bay, CA",3.7,12.3
2013,"Cortez, FL",3.6,3.6
2013,"Olympia, WA",3.4,20.8
2013,"Norton/Kotzebue Sound, AK",2.9,3.8
2013,"Fort Myers, FL",2.8,8.2
2013,"Everett, WA",2.8,2.2
2013,"Bon Secour-Gulf Shores, AL",2.8,5
2013,"Stonington, CT",2.7,7.8
2013,"Freeport, TX",2.7,7.5
2013,"Mayport, FL",2.6,6.9
2013,"Aransas Pass-Rockport, TX",2.5,8.9
2013,"Blaine, WA",2.4,7.7
2013,"Tacoma, WA",2.3,3.9
2013,"Port Orford, OR",2.3,5.2
2013,"Belhaven-Washington, NC",2.2,3.2
2013,"Apalachicola, FL",2.2,6.5
2013,"Belford, NJ",2.1,1.8
2013,"Oriental-Vandemere, NC",1.9,4.5
2013,"Tillamook, OR",1.8,4.3
2013,"Sneads Ferry-Swansboro, NC",1.8,4.6
2013,"Elizabeth City, NC",1.7,2.6
2013,"Savannah, GA",1.6,2.7
2013,"Port Townsend, WA",1.4,3.8
2013,"Naples, FL",1.2,6
2013,"La Push, WA",1.2,4.3
2013,"Brunswick, GA",1,2.3
2013,"Panama City, FL",.9,2.7
2013,"Port Angeles, WA",.7,4.6
2013,"Houston, TX",.3,.8
2013,"Haines, AK",.3,.4
2013,"Greenport, NY",.2,.2
2013,"Cape Charles-Oyster, VA",.2,.7
2012,"Dutch Harbor, AK",751.5,214.2
2012,"Empire-Venice, LA",500.4,79.7
2012,"Aleutian Islands (Other), AK",455.6,118.9
2012,"Kodiak, AK",393,170.3
2012,"Reedville, VA",389,34.5
2012,"Intracoastal City, LA",344.7,43.9
2012,"Pascagoula-Moss Point, MS",249.9,24.1
2012,"Cameron, LA",228.2,20.6
2012,"Alaska Penninsula (Other), AK",191,98.8
2012,"Astoria, OR",169.5,38.9
2012,"Los Angeles, CA",161.9,43.6
2012,"New Bedford, MA",143,411.1
2012,"Westport, WA",133.4,58.9
2012,"Naknek, AK",86.5,77.8
2012,"Cordova, AK",83.8,40
2012,"Gloucester, MA",82.6,57.4
2012,"Newport, OR",80.2,37.2
2012,"Ketchikan, AK",74.1,54.4
2012,"Port Hueneme-Oxnard-Ventura, CA",69.3,26.4
2012,"Sitka, AK",67.1,66.2
2012,"Portland, ME",59,32.8
2012,"Bristol Bay (Other), AK",55.3,78.9
2012,"Seward, AK",54,62.1
2012,"Petersburg, AK",52,50
2012,"Point Judith, RI",46.4,42.6
2012,"Dulac-Chauvin, LA",42.6,64
2012,"Rockland, ME",35.2,14.8
2012,"Coos Bay-Charleston, OR",32.4,26.9
2012,"Moss Landing, CA",29.4,9.3
2012,"Ilwaco-Chinook, WA",29.4,22.4
2012,"Kenai, AK",28.4,29.9
2012,"Cape May-Wildwood, NJ",27.8,71.7
2012,"Atlantic City, NJ",27.5,21.7
2012,"Honolulu, HI",27.1,100.1
2012,"Galveston, TX",26.6,74.3
2012,"North Kingstown, RI",23,12.7
2012,"Brownsville-Port Isabel, TX",23,53.6
2012,"Stonington, ME",21.8,46.1
2012,"Bayou La Batre, AL",20.8,37.5
2012,"Port Arthur, TX",20.4,47.4
2012,"Princeton-Half Moon Bay, CA",20,15.4
2012,"Lafitte-Barataria, LA",19.7,26.6
2012,"Point Pleasant, NJ",19.1,28.2
2012,"Jonesport, ME",18.4,12.8
2012,"Juneau, AK",18.2,26.1
2012,"Golden Meadow-Leeville, LA",17.1,25.9
2012,"Provincetown-Chatham, MA",16.8,27.6
2012,"Wanchese-Stumpy Point, NC",16.7,21
2012,"Montauk, NY",14.8,21.2
2012,"Boston, MA",13.9,18.7
2012,"Gulfport-Biloxi, MS",13.8,25.2
2012,"Hampton Roads Area, VA",13.5,64.1
2012,"Vinalhaven, ME",13.4,28.3
2012,"Eureka, CA",13,24.7
2012,"Delacroix-Yscloskey, LA",12.8,17.4
2012,"Crescent City, CA",12.8,28.3
2012,"Homer, AK",12.3,30.1
2012,"Key West, FL",11.8,43
2012,"Bellingham, WA",10.8,20
2012,"Shelton, WA",10.4,29.8
2012,"Yukon Delta (Other), AK",9.7,14.2
2012,"Accomac, VA",9.7,12.2
2012,"Anchorage, AK",9.3,10.2
2012,"Tampa Bay-St. Petersburg, FL",9.1,21.6
2012,"Palacios, TX",8.9,21.2
2012,"Upper Southeast (Other), AK",8.7,11.1
2012,"Brookings, OR",8.7,11.8
2012,"San Francisco Area, CA",8.1,14.7
2012,"Fort Bragg, CA",8.1,14.5
2012,"Hampton Bay-Shinnicock, NY",7.9,7.7
2012,"Long Beach-Barnegat, NJ",7.7,30
2012,"Fairhaven, MA",7.5,25.2
2012,"Slidell-Covington, LA",7.4,8.3
2012,"Newport, RI",7.3,10.2
2012,"Mayport, FL",7.2,15.4
2012,"Monterey, CA",6.9,3.1
2012,"Engelhard-Swanquarter, NC",6.9,8
2012,"Morgan City-Berwick, LA",6.8,6
2012,"Santa Barbara, CA",6.7,10.4
2012,"Fort Myers, FL",6.5,12.3
2012,"Beaufort-Morehead City, NC",6.5,11.5
2012,"Port Clyde, ME",6.2,9.6
2012,"Ocean City, MD",6,5.8
2012,"Friendship, ME",5.8,14.2
2012,"Neah Bay, WA",5.6,9
2012,"Seattle, WA",5.3,19
2012,"Morro Bay, CA",5.2,6.2
2012,"Yakutat, AK",5,14.6
2012,"New London, CT",5,9.5
2012,"Beals Island, ME",5,11.5
2012,"Apalachicola, FL",5,11.2
2012,"Port St. Joe, FL",4.8,2.7
2012,"Darien-Bellville, GA",4.8,6.8
2012,"Chincoteague, VA",4.8,9.1
2012,"Newington, NH",4.7,11.9
2012,"Cape Canaveral, FL",4.3,7.7
2012,"Spruce Head, ME",4,9.6
2012,"Bon Secour-Gulf Shores, AL",3.9,5.5
2012,"Panama City, FL",3.8,10.1
2012,"Craig, AK",3.6,6.1
2012,"Bodega Bay, CA",3.6,11.8
2012,"Belhaven-Washington, NC",3.3,3.1
2012,"Interior (Other), AK",.6,.2
2012,"Haines, AK",.4,.4
2011,"Dutch Harbor, AK",705.7,246.8
2011,"Empire-Venice, LA",531.5,99.2
2011,"Aleutian Islands (Other), AK",431.3,128.9
2011,"Reedville, VA",413.9,36.2
2011,"Kodiak, AK",371.7,182.2
2011,"Intracoastal City, LA",327,33.6
2011,"Pascagoula-Moss Point, MS",266.7,9.9
2011,"Cameron, LA",226.7,14.4
2011,"Alaska Penninsula (Other), AK",211.3,138
2011,"Los Angeles, CA",157.2,36.8
2011,"Astoria, OR",143.8,44.4
2011,"Port Hueneme-Oxnard-Ventura, CA",127.9,38.7
2011,"New Bedford, MA",116.7,368.8
2011,"Westport, WA",116.3,61
2011,"Sitka, AK",113.2,86.5
2011,"Petersburg, AK",101.1,68.8
2011,"Ketchikan, AK",100,66.2
2011,"Naknek, AK",99.2,99.9
2011,"Newport, OR",79,43.8
2011,"Gloucester, MA",77,60.7
2011,"Cordova, AK",67.5,68.3
2011,"Portland, ME",61.1,28.3
2011,"Seward, AK",50,76.7
2011,"Bristol Bay (Other), AK",49.4,85.9
2011,"Dulac-Chauvin, LA",43.3,62.5
2011,"Point Judith, RI",40.8,40.3
2011,"Cape May-Wildwood, NJ",39.5,102.7
2011,"Coos Bay-Charleston, OR",38.6,35.7
2011,"Rockland, ME",38.2,23.5
2011,"Jonesport, ME",35.7,24.6
2011,"Moss Landing, CA",33.6,7.5
2011,"Kenai, AK",31.2,40.7
2011,"Monterey, CA",25,6.4
2011,"Brownsville-Port Isabel, TX",24.8,58.2
2011,"Wanchese-Stumpy Point, NC",24.6,21.9
2011,"Honolulu, HI",22.8,83
2011,"Atlantic City, NJ",22.7,17.3
2011,"Bayou La Batre, AL",21.6,43.1
2011,"Lafitte-Barataria, LA",21.5,27.7
2011,"Port Arthur, TX",21.3,57.1
2011,"North Kingstown, RI",21,13.1
2011,"Ilwaco-Chinook, WA",20.6,24.3
2011,"Stonington, ME",19.4,47.8
2011,"Bellingham, WA",18.9,28.4
2011,"Galveston, TX",18.7,46.9
2011,"Hampton Roads Area, VA",18.3,88.3
2011,"Juneau, AK",18,28.2
2011,"Provincetown-Chatham, MA",17.9,26.8
2011,"Golden Meadow-Leeville, LA",17.2,23.8
2011,"Point Pleasant, NJ",15.3,26.8
2011,"Palacios, TX",14.9,35.8
2011,"Homer, AK",13.9,41.7
2011,"Key West, FL",13.7,56.3
2011,"Boston, MA",13.3,17.4
2011,"Montauk, NY",13,18.8
2011,"San Francisco Area, CA",12.4,21.5
2011,"Gulfport-Biloxi, MS",10.7,19.9
2011,"Accomac, VA",9.9,10.3
2011,"Eureka, CA",9.5,8.9
2011,"Anchorage, AK",9.2,12.2
2011,"Ocean City, MD",9,6
2011,"Engelhard-Swanquarter, NC",9,9.7
2011,"Delacroix-Yscloskey, LA",9,12.7
2011,"Long Beach-Barnegat, NJ",8.9,33.8
2011,"Upper Southeast (Other), AK",8.6,11.6
2011,"Fort Myers, FL",8.2,14.1
2011,"Tampa Bay-St. Petersburg, FL",8.1,17.4
2011,"Vinalhaven, ME",8,17
2011,"Seattle, WA",8,24.2
2011,"Mayport, FL",7.9,16.1
2011,"Apalachicola, FL",7.8,11.7
2011,"Yukon Delta (Other), AK",7.6,10.3
2011,"Crescent City, CA",7.5,8.5
2011,"Port St. Joe, FL",7.3,3.3
2011,"Fort Bragg, CA",7.3,11.3
2011,"Darien-Bellville, GA",7.2,6.4
2011,"Slidell-Covington, LA",7.1,7.1
2011,"Anacortes-La Conner, WA",7,15
2011,"Shelton, WA",6.8,25.1
2011,"Morgan City-Berwick, LA",6.6,5.9
2011,"Charleston-Mt. Pleasant, SC",6.5,14.5
2011,"Santa Barbara, CA",6.3,9.9
2011,"Hampton Bay-Shinnicock, NY",6.3,7.4
2011,"Yakutat, AK",6.1,17.7
2011,"Bodega Bay, CA",5.8,14.3
2011,"Newport, RI",5.6,7.5
2011,"Brookings, OR",5.5,5.6
2011,"Neah Bay, WA",5.1,8.9
2011,"Belhaven-Washington, NC",5,4.9
2011,"Bay Center-South Bend, WA",4.9,12.8
2011,"Wrangell, AK",4.7,8.4
2011,"Cape Canaveral, FL",4.6,8.3
2011,"Bon Secour-Gulf Shores, AL",4.5,7.7
2011,"Craig, AK",4.3,8.1
2011,"Spruce Head, ME",4,11
2011,"Aransas Pass-Rockport, TX",3.8,8.7
2011,"Panama City, FL",3.7,9.5
2011,"Blaine, WA",3.6,7.7
2011,"Oriental-Vandemere, NC",3.5,6.2
2011,"Ft. Pierce-St.Lucie, FL",3.4,6.6
2011,"Chincoteague, VA",3.4,4
2011,"Beaufort, SC",3.4,6.1
2011,"Stonington, CT",3.1,8.8
2011,"New London, CT",2.9,9
2011,"Georgetown, SC",2.7,5.2
2011,"Port Orford, OR",2.4,6.3
2011,"Port Townsend, WA",2.2,4.8
2011,"Naples, FL",2,6.5
2011,"Tacoma, WA",1.8,5.9
2011,"Olympia, WA",1.8,9
2011,"La Push, WA",1.4,3.9
2011,"Tillamook, OR",1.3,3
2011,"Haines, AK",.9,.8
2010,"Dutch Harbor, AK",515.2,163.1
2010,"Reedville, VA",426.1,34.2
2010,"Empire-Venice, LA",353.5,59.4
2010,"Intracoastal City, LA",334.6,31.4
2010,"Kodiak, AK",325.3,128.1
2010,"Akutan, AK",302.3,84.1
2010,"Cameron, LA",204.7,11.5
2010,"Los Angeles, CA",186.8,37.8
2010,"Cordova, AK",147.7,84.3
2010,"New Bedford, MA",133.4,306
2010,"Port Hueneme-Oxnard-Ventura, CA",131.4,37.4
2010,"Naknek, AK",124.1,100.9
2010,"Pascagoula-Moss Point, MS",105.2,8.9
2010,"Astoria, OR",100.9,30.5
2010,"Westport, WA",100.8,38.5
2010,"Gloucester, MA",88.8,56.6
2010,"Ketchikan, AK",75.7,41.3
2010,"Seward, AK",75.4,69.2
2010,"Sitka, AK",74.6,62.2
2010,"Newport, OR",57,30.6
2010,"Petersburg, AK",49.9,36.3
2010,"Cape May-Wildwood, NJ",43.1,81
2010,"Moss Landing, CA",38.4,9.4
2010,"Portland, ME",38.2,18.8
2010,"Point Judith, RI",35.6,32.2
2010,"Dulac-Chauvin, LA",32.8,45.1
2010,"Coos Bay-Charleston, OR",31,24
2010,"Wanchese-Stumpy Point, NC",25.6,22
2010,"Atlantic City, NJ",24.2,17.3
2010,"Ilwaco-Chinook, WA",23.6,17.9
2010,"Honolulu, HI",23.5,71.6
2010,"Brownsville-Port Isabel, TX",22.7,52.5
2010,"Rockland, ME",22.6,10.6
2010,"Kenai, AK",21.2,25.1
2010,"Point Pleasant, NJ",20.9,22.8
2010,"Homer, AK",19.9,56.1
2010,"Port Arthur, TX",19.6,47.4
2010,"Bellingham, WA",18.6,26.9
2010,"Monterey, CA",17.1,4.7
2010,"Stonington, ME",17,45.3
2010,"Ocean City, MD",16.7,8.8
2010,"Hampton Roads Area, VA",16.1,75.4
2010,"Juneau, AK",16,23.8
2010,"Provincetown-Chatham, MA",15.9,19.9
2010,"Lafitte-Barataria, LA",14.9,20.4
2010,"Golden Meadow-Leeville, LA",14.8,21.9
2010,"Palacios, TX",13.9,31.9
2010,"Galveston, TX",13.4,28
2010,"Key West, FL",13.3,50
2010,"Crescent City, CA",13.3,10.6
2010,"Montauk, NY",12.9,17.7
2010,"Boston, MA",12,15.1
2010,"Bon Secour-Gulf Shores, AL",11.3,22.5
2010,"Eureka, CA",10.2,9.7
2010,"Engelhard-Swanquarter, NC",9.2,10.6
2010,"San Francisco Area, CA",8.9,15.1
2010,"Long Beach-Barnegat, NJ",8.5,25.8
2010,"Shelton, WA",7.7,17.6
2010,"Newport, RI",7.5,6.9
2010,"Fort Myers, FL",7.2,12.4
2010,"Anchorage, AK",7,9.5
2010,"Yakutat, AK",6.8,14.9
2010,"Fort Bragg, CA",6.6,6.8
2010,"Brookings, OR",6.4,5.2
2010,"Port St. Joe, FL",6.3,3.4
2010,"Stonington, CT",6,18.5
2010,"Mayport, FL",6,11
2010,"Gulfport-Biloxi, MS",6,13
2010,"Morgan City-Berwick, LA",5.9,5.7
2010,"Seattle, WA",5.8,22.1
2010,"Delacroix-Yscloskey, LA",5.8,11.7
2010,"Anacortes-La Conner, WA",5.8,13.6
2010,"Santa Barbara, CA",5.7,8.2
2010,"Tampa Bay-St. Petersburg, FL",5.5,12.6
2010,"Neah Bay, WA",5.1,7.7
2010,"Charleston-Mt. Pleasant, SC",4.5,9.9
2010,"Wrangell, AK",4.4,7.9
2010,"Oriental-Vandemere, NC",4.4,8.4
2010,"Hampton Bay-Shinnicock, NY",4.4,5.1
2010,"Cape Canaveral, FL",4.2,6.5
2010,"Blaine, WA",3.8,9
2010,"Apalachicola, FL",3.8,9
2010,"New London, CT",3.2,10.6
2010,"Bayou La Batre, AL",3.1,4.7
2010,"Chincoteague, VA",3,3.5
2010,"Olympia, WA",2.8,16.2
2010,"Panama City, FL",2.5,6.1
2010,"Naples, FL",2.1,7.3
2010,"Tacoma, WA",2,3.8
2010,"Port Townsend, WA",1.6,4.1
2010,"Port Orford, OR",1.5,3.4
2010,"Tillamook, OR",1.4,2.6
2010,"La Push, WA",1,2.5
